DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
Eastern Sierra Unified,26,73668,"9,497,335",390.9,"24,299",Unified                  ,20,18,12,0,12,66.67,7,0,7,38.89,7,38.89,2,0.7,0,18.77,0,13.84,2.29,0,0,16.38,0,6,1.98,0,11.49,0,1
El Dorado Union High,9,61853,"71,521,973","6,273.10","11,401",High                     ,1630,771,700,2,702,91.05,639,2,641,83.14,614,79.64,23,2,0,0.05,8.29,39.18,0,0.8,0,115.45,0,43.31,19.35,16.5,279.41,9.2,1.53
El Monte Union High,19,64519,"119,220,411","8,376.40","14,233",High                     ,2309,1836,993,0,993,54.08,650,0,650,35.4,581,31.64,32.23,2,0,0,9.83,55.7,0,0,0,155.29,0,84.94,14,33,404.06,19,5
El Rancho Unified,19,64527,"93,952,601","8,239.90","11,402",Unified                  ,728,398,253,0,253,63.57,159,0,159,39.95,149,37.44,20,4.65,3.99,194.42,29.48,91.75,31.83,0,0,177.25,0,35.75,20.99,10,118.63,33,4.14
El Segundo Unified,19,64535,"36,577,956","3,371.20","10,850",Unified                  ,275,169,162,0,162,95.86,132,0,132,78.11,132,78.11,9.75,0,2,76.47,11.4,34.42,11,0.5,0,36.57,0,13.76,8.8,3,51.57,11,0
El Tejon Unified,15,75168,"8,038,408",651.9,"12,330",Unified                  ,79,23,18,0,18,78.26,10,0,10,43.48,10,43.48,2.88,2,0,20.83,0,7.05,3.33,0,0,23.82,0,5.88,2.5,0.37,12.43,0.56,0
Elk Grove Unified,34,67314,"661,563,883","59,748.80","11,072",Unified                  ,4915,2623,2061,3,2064,78.69,1585,3,1588,60.54,1503,57.3,176.92,13,26,0,340.33,713.27,201.35,0,0,0,0,302.2,156.18,51.9,914.54,109.5,41.12
Emery Unified,1,61168,"11,468,178",646,"17,754",Unified                  ,39,25,13,0,13,52,6,0,6,24,6,24,0,1,0,22,6,2,4,0,0,12.2,0,3,3,1,14.69,2,0
Escalon Unified,39,68502,"24,966,773","2,488.20","10,034",Unified                  ,207,74,65,0,65,87.84,48,0,48,64.86,47,63.51,8,1,1,75.94,8,25.85,13,0,0,53.4,0,15.16,9,2.95,42.37,5.5,0
Escondido Union High,37,68106,"91,663,311","7,015.20","13,066",High                     ,2425,1098,856,2,858,78.14,573,1,574,52.28,552,50.27,25.54,5,0,0,38.71,70.43,0,0,0,169.01,0,60.59,29.4,23.5,419.63,26.87,6.75
Esparto Unified,57,72686,"10,700,299",876.5,"12,208",Unified                  ,80,51,26,0,26,50.98,14,0,14,27.45,14,27.45,1,1,0,22.44,2.18,11,4,0,0,25,0,7,3.05,1,16.06,2.4,0
Exeter Unified,54,76836,"29,299,289","2,685.60","10,910",Unified                  ,273,66,53,0,53,80.3,26,0,26,39.39,26,39.39,8.75,4,1,62.6,11.5,24.02,10,0,0,65.94,0,15.29,12.7,1.8,41.71,2.45,0
Fairfield-Suisun Unified,48,70540,"208,430,635","20,576.80","10,129",Unified                  ,1622,550,431,0,431,78.36,295,0,295,53.64,277,50.36,87,7,5,523.65,130.19,203.56,80.67,1,0,442.71,0,109.96,51.7,13.7,274,56.36,7
Fall River Joint Unified,45,69989,"14,416,768","1,102.40","13,078",Unified                  ,77,24,23,0,23,95.83,22,0,22,91.67,21,87.5,8,0.55,0,36.16,4.5,22.53,6.14,0,0,37.13,0,9.25,6.34,1,22.75,2,0
Fallbrook Union High,37,68122,"28,408,432","2,034.60","13,963",High                     ,542,184,133,0,133,72.28,94,0,94,51.09,88,47.83,7,0,0,0,1,40.5,0,0,0,49,0,14.5,6,7.16,100.67,7,2.24
Farmersville Unified,54,75325,"30,294,612","2,395.10","12,649",Unified                  ,206,70,18,0,18,25.71,3,0,3,4.29,3,4.29,9,2,3.5,60.71,10.45,16.19,9,0,0,67.39,0,12.5,12.71,3.5,34.1,4,0
Fillmore Unified,56,72454,"43,580,211","3,588.20","12,146",Unified                  ,273,93,61,0,61,65.59,47,0,47,50.54,40,43.01,13.88,7,2,97.33,15.42,35.97,14.67,0,0,87.58,0,14.39,11,3,49.83,16.2,3.42
Firebaugh-Las Deltas Unified,10,73809,"27,694,504","2,179.80","12,705",Unified                  ,169,83,35,0,35,42.17,9,0,9,10.84,8,9.64,14,2,0,59.29,23.16,16.9,9.33,0,0,59.59,0,15.82,5.05,2,35.84,5.35,0.5
Folsom-Cordova Unified,34,67330,"208,367,798","19,356.30","10,765",Unified                  ,1553,663,607,3,610,92.01,546,3,549,82.81,535,80.69,55.29,11.5,9,523.75,19.5,275.95,71.09,0,0,335.53,0,91.49,55.73,13.93,277.32,71.69,6.5
Fontana Unified,36,67710,"427,721,458","35,572.90","12,024",Unified                  ,3111,1229,754,0,754,61.35,387,0,387,31.49,352,28.64,77.01,10,29,929.28,70.71,419.06,114.58,1,0,0,0,182.08,103.17,33,564.36,154.83,31.04
Fort Bragg Unified,23,65565,"21,463,854","1,684.60","12,741",Unified                  ,140,61,50,0,50,81.97,32,0,32,52.46,32,52.46,10,2,2,58.32,11.11,51.05,8.33,0,0,36.06,0,17.64,7.95,2.4,38.44,4,1
Fortuna Union High,12,62810,"12,517,768",986.8,"12,685",High                     ,242,82,65,0,65,79.27,43,0,43,52.44,40,48.78,4,1,0,0,1.95,6,0,0,0,22.5,0,8,2.7,2,50.3,3.8,0
Fowler Unified,10,62158,"28,644,859","2,498.90","11,463",Unified                  ,191,111,61,0,61,54.95,24,0,24,21.62,20,18.02,8.63,1,0.83,69.1,13.36,37.67,10.33,0,0,47.33,0,11.81,5.77,2,36.15,2.6,2.21
Fremont Unified,1,61176,"361,573,564","34,247.10","10,558",Unified                  ,2686,1716,1595,31,1626,94.76,1466,31,1497,87.24,1473,85.84,126.38,13,19,892.52,221.61,312.03,150.09,0,0,400.78,0,164.52,69,24,457.41,84.9,10.53
Fremont Union High,43,69468,"152,089,367","10,701.30","14,212",High                     ,2745,1731,1628,38,1666,96.24,1559,38,1597,92.26,1581,91.33,31.05,7.6,0,0,18.17,113.74,0,0,0,121.4,0,64.65,32.64,20.5,461.4,24.3,5
Fresno Unified,10,62166,"865,445,277","66,400.90","13,034",Unified                  ,4647,3272,1600,3,1603,48.99,806,2,808,24.69,727,22.22,290.35,38.4,26,0,512.68,763.39,349.67,0,0,0,0,588.15,241.02,58,830.28,359.76,20.75
Fullerton Joint Union High,30,66514,"147,014,641","13,208.50","11,130",High                     ,3611,1828,1545,16,1561,85.39,1319,16,1335,73.03,1287,70.4,40.46,6,0,0.27,17.96,84.49,0,0,0,189.56,0,61,31.9,27.5,498.19,38.88,9
Galt Joint Union High,34,67355,"25,551,894","2,021.50","12,640",High                     ,546,186,135,0,135,72.58,103,0,103,55.38,98,52.69,7.25,1,0,0.09,6.85,26.25,0,0,0,44.05,0,14.5,7.53,5,101.87,3,0
Garden Grove Unified,30,66522,"501,285,224","41,695.90","12,022",Unified                  ,3785,2209,1695,2,1697,76.82,1294,1,1295,58.62,1208,54.69,141.88,13,9,994.33,117.83,448.45,150.2,1,0,734.58,0,254.19,104,34,589.58,171.94,17
Gateway Unified,45,75267,"28,691,067","2,140.90","13,401",Unified                  ,182,47,32,0,32,68.09,16,0,16,34.04,16,34.04,14,2,2.6,69.85,13.8,68.39,10.95,0,0,78.42,0,20.19,10.4,2.95,37.93,9.1,3.25
Gilroy Unified,43,69484,"121,939,092","10,610.40","11,492",Unified                  ,919,396,320,1,321,81.06,230,0,230,58.08,222,56.06,17,9,6.5,270.3,61.13,128.06,34.67,0,0,125.22,0,61.42,27.43,9,170.54,20.7,1
Glendale Unified,19,64568,"294,016,618","25,121.00","11,704",Unified                  ,2071,916,808,5,813,88.76,696,5,701,76.53,674,73.58,82.75,7,9.6,607.34,93.45,271.13,90.32,0,0,451.12,0,104.16,58.1,15,331.55,70,5.83
Glendora Unified,19,64576,"76,250,695","7,188.70","10,607",Unified                  ,733,405,362,0,362,89.38,313,0,313,77.28,299,73.83,22.76,4,3.98,176.39,27.47,83.88,24.67,0,0,78.85,0,27.2,13.97,6.88,106.06,16,2
Golden Plains Unified,10,75234,"22,723,900","1,593.70","14,258",Unified                  ,91,47,17,0,17,36.17,7,0,7,14.89,7,14.89,3,1,0.8,51.65,5,27.55,6.75,0,0,55.97,0,11,6,1.2,24.2,0,0
Golden Valley Unified,20,75580,"19,334,798","1,881.00","10,279",Unified                  ,142,63,53,0,53,84.13,30,0,30,47.62,29,46.03,6,3,0.5,46.58,0.75,20.53,8.25,0,0,44.78,0,10.5,8.19,1.5,37.16,2.05,1
Gonzales Unified,27,75473,"29,003,295","2,261.40","12,826",Unified                  ,209,85,51,1,52,61.18,22,1,23,27.06,20,23.53,9,2.5,2,57.33,10.85,26.75,8.33,0,0,52.4,0,11.88,6,2,35.64,4.6,0
Gorman Joint,19,64584,"1,167,305",75.7,"15,424",Elementary               ,212,23,17,0,17,73.91,10,0,10,43.48,10,43.48,0,0.5,0,12.96,0.47,32.18,1.46,0,0,56,0,19.5,5,0,85.59,1.7,0
Gridley Unified,4,75507,"20,497,499","1,933.30","10,603",Unified                  ,143,40,36,0,36,90,31,0,31,77.5,28,70,7,0,0,52.15,4.56,24.42,7.4,0,0,38.16,0,17.86,1.9,1.95,31.04,2.4,2
Grossmont Union High,37,68130,"210,836,231","15,571.90","13,540",High                     ,5405,2261,1816,1,1817,80.36,1413,0,1413,62.49,1347,59.58,65.4,4,0,0.17,112.27,267.97,0,0,0,313.9,0,133.1,60.28,52.64,833.69,48.07,18.83
Gustine Unified,24,73619,"19,209,428","1,746.70","10,998",Unified                  ,147,66,42,0,42,63.64,16,0,16,24.24,16,24.24,8,0,1,50.51,1,31.32,7.2,0,0,53.46,0,10.44,7,2,28.59,7,0
Hamilton Unified,11,76562,"7,471,979",677.5,"11,028",Unified                  ,70,25,18,0,18,72,11,0,11,44,11,44,3,0.67,0.75,17.25,2.38,0,3,0,0,17.33,0,4,2.34,1,18.29,1,0
Hanford Joint Union High,16,63925,"40,885,640","3,547.10","11,527",High                     ,853,250,177,0,177,70.8,116,0,116,46.4,108,43.2,14.19,3,0,0,7,16,0,0,0,65.72,0,36.32,12.75,12,158.92,4,0
Hayward Unified,1,61192,"249,986,063","19,355.40","12,916",Unified                  ,1655,709,463,0,463,65.3,297,0,297,41.89,278,39.21,90.65,15,9.3,575.91,166.67,239.76,85.35,0,0,247.75,0,124.07,66.9,24.45,285.73,71.95,0.05
Healdsburg Unified,49,75390,"22,030,178","1,453.50","15,156",Unified                  ,149,62,50,0,50,80.65,37,0,37,59.68,36,58.06,9.5,1,1,44.31,7.25,16.5,5.5,0,0,39,0,13.89,5.8,2,33.17,3,0
Helendale Elementary,36,67736,"6,293,404",621.3,"10,130",Elementary               ,207,42,31,0,31,73.81,14,0,14,33.33,14,33.33,4,2,0.5,85.74,30.57,22.67,9.36,0,0,19.25,0,52.63,18.86,0.5,72.27,20.38,2.61
Hemet Unified,33,67082,"265,095,793","20,001.30","13,254",Unified                  ,1835,1227,579,0,579,47.19,283,0,283,23.06,268,21.84,31,8,10,560.36,116.3,315.2,72.75,2,0,622.82,0,141.66,67.6,17,318.02,48.6,8.63
Hesperia Unified,36,75044,"231,185,965","20,488.40","11,284",Unified                  ,2009,685,441,0,441,64.38,262,0,262,38.25,239,34.89,40.47,6,6,555.96,69.49,302.26,81.63,0,0,558.16,0,175.7,69.8,23.69,350.4,22.14,5.61
Hilmar Unified,24,65698,"24,552,775","2,254.20","10,892",Unified                  ,162,64,41,0,41,64.06,22,0,22,34.38,22,34.38,6.87,2,1.3,61.52,7.63,23.4,13.62,0,0,41.02,0,8.25,6.35,2.6,35.75,4.35,1.15
Holtville Unified,13,63149,"18,447,405","1,501.40","12,287",Unified                  ,138,52,34,0,34,65.38,18,0,18,34.62,17,32.69,8.37,0.8,2,44.52,9.35,23.87,7.06,0,0,45.4,0,8.63,3.7,2.35,26.48,3.2,0
Hughson Unified,50,75549,"22,341,720","1,967.90","11,353",Unified                  ,151,65,54,0,54,83.08,32,0,32,49.23,30,46.15,4,2,0.6,47.14,5.67,21.61,6.9,0,0,38.68,0,13.76,8.89,1.4,35.38,3.77,0
Huntington Beach Union High,30,66548,"182,608,039","15,377.50","11,875",High                     ,4136,2080,1855,3,1858,89.33,1626,3,1629,78.32,1567,75.34,41.98,4,0,0.12,15.01,153.37,0,0.96,0,211.49,0,68.54,39.46,7.5,626.11,34.5,14.08
Imperial Unified,13,63164,"40,922,429","4,047.60","10,110",Unified                  ,262,94,73,0,73,77.66,43,0,43,45.74,42,44.68,13.41,2,2,104.37,1,36.2,15.67,0,0,76.63,0,15.75,10,3,55.06,11.6,0
Inglewood Unified,19,64634,"117,597,186","8,781.60","13,391",Unified                  ,734,374,177,0,177,47.33,91,0,91,24.33,77,20.59,67,1,7.5,333.72,81.2,112.25,49.92,0,0,179,0,84.9,40.9,9.5,116.79,29.8,0.18
Irvine Unified,30,73650,"353,385,092","33,642.10","10,504",Unified                  ,2474,1159,1088,39,1127,97.24,1029,40,1069,92.23,1055,91.03,86,11.4,7.98,771.83,171.52,649.99,100.89,1,0,600.13,0,123.26,65.59,20.31,405.49,104.8,9.03
Jefferson Union High,41,68924,"52,657,509","4,174.10","12,615",High                     ,1292,645,535,1,536,83.1,441,1,442,68.53,425,65.89,23.8,3,0,0,6.89,31.88,0,0,0,63.74,0,31.36,19.9,13.8,223.94,12,0
John Swett Unified,7,61697,"17,807,508","1,419.40","12,546",Unified                  ,145,56,32,0,32,57.14,31,0,31,55.36,26,46.43,9,1,0.8,40.66,4,19.74,6.03,0,0,25.52,0,9,6,1.2,28.2,4,0
Julian Union Elementary,37,68163,"5,451,295",286.4,"19,033",Elementary               ,196,29,23,0,23,79.31,15,0,15,51.72,14,48.28,0,1,0,93.58,14.91,40.26,11.94,0,0,8.46,0,71.73,18.93,0,62.77,23.13,3.11
Jurupa Unified,33,67090,"214,270,745","18,209.90","11,767",Unified                  ,1421,552,347,0,347,62.86,194,0,194,35.14,179,32.43,68.5,8,7,489.7,24.5,179.31,74.8,0,0,395.96,0,106.42,38,22.2,254.88,46.9,10.31
Kelseyville Unified,17,64014,"19,636,158","1,561.90","12,572",Unified                  ,134,64,43,0,43,67.19,22,0,22,34.38,20,31.25,7,1,0.75,41.19,1,25.75,5,0,0,49.75,0,11,4.5,1,27.9,4,5
Kerman Unified,10,73999,"51,323,155","4,926.80","10,417",Unified                  ,368,172,113,0,113,65.7,49,0,49,28.49,45,26.16,12,2,0,130.42,3,50.77,18.58,0,0,107.35,0,20,16.8,1,62.32,25.2,0
Kern High,15,63529,"456,668,687","36,861.30","12,389",High                     ,9852,3454,2265,3,2268,65.66,1459,1,1460,42.27,1372,39.72,153.73,24,0,0,88.64,364.75,0,0,0,606.78,0,293.29,50.84,146.69,0,33.1,0.29
Kings Canyon Joint Unified,10,62265,"109,835,091","9,181.40","11,963",Unified                  ,679,235,160,0,160,68.09,82,0,82,34.89,76,32.34,32.28,3,1,238.63,58,103.97,35.5,0,0,199.86,0,59.94,41.07,6.9,116.58,26.5,0
Kingsburg Joint Union High,10,62257,"12,954,620","1,098.40","11,794",High                     ,315,126,92,0,92,73.02,73,0,73,57.94,69,54.76,3,1.5,0,0,1.56,6.92,0,0,0,15.52,0,7,2.4,1.9,57.44,2.53,0
Klamath-Trinity Joint Unified,12,62901,"17,773,735",908.7,"19,559",Unified                  ,63,25,15,0,15,60,5,0,5,20,4,16,7,1,1,37.58,1,14.46,3.92,0,0,52.2,0,9.48,9.11,1,20.75,6.54,0.14
Konocti Unified,17,64022,"40,439,101","3,133.30","12,906",Unified                  ,216,36,23,0,23,63.89,7,0,7,19.44,7,19.44,18.94,2.5,2.6,77.24,14.66,48.35,12.95,0,0,95.34,0,19.24,11.9,1,38.66,7,0.17
La Canada Unified,19,64659,"44,684,902","4,045.20","11,046",Unified                  ,363,191,182,4,186,97.38,179,4,183,95.81,179,93.72,11.53,3,1.4,103.94,14.88,66.83,10.07,0,0,63.56,0,17.82,8.5,9,56.26,8.54,0.33
Laguna Beach Unified,30,66555,"53,943,320","2,787.50","19,352",Unified                  ,268,86,82,0,82,95.35,66,0,66,76.74,65,75.58,22.5,1,3,77.7,18,70.25,8.5,0,0,37.5,0,18.5,6.4,3,53.2,10,0
Lake Elsinore Unified,33,75176,"230,358,769","20,215.90","11,395",Unified                  ,1590,648,496,0,496,76.54,312,0,312,48.15,290,44.75,61.25,8.5,11.4,553.76,70.21,330.16,81.66,0,0,399.85,0,92.28,50.15,14.5,287.7,61.1,7.17
Lake Tahoe Unified,9,61903,"44,579,280","3,595.40","12,399",Unified                  ,262,105,89,1,90,85.71,72,1,73,69.52,70,66.67,13.34,2,2,107.54,10.55,52.09,17.88,0,0,73.05,0,17.67,9.9,2.95,59.5,15,9.01
Lakeport Unified,17,64030,"16,376,829","1,420.00","11,533",Unified                  ,120,32,25,0,25,78.13,25,0,25,78.13,22,68.75,7.69,1,1.8,45.59,0,17.67,5.64,0,0,35.96,0,6,7,1.8,23.39,3,0
Lakeside Union Elementary,15,63552,"13,255,786","1,309.30","10,124",Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,0,0,11.5,0,4.96,2.5,0,0,11.68,0,5,2,0,0,0,0
Lakeside Union Elementary,16,63966,"3,548,968",311.7,"11,385",Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,0,0,11.5,0,4.96,2.5,0,0,11.68,0,5,2,0,0,0,0
Lakeside Union Elementary,37,68189,"53,765,039","4,952.30","10,857",Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,0,0,11.5,0,4.96,2.5,0,0,11.68,0,5,2,0,0,0,0
Lammersville Joint Unified,39,76760,"44,935,017","4,720.70","9,519",Unified                  ,262,148,132,1,133,89.86,94,1,95,64.19,90,60.81,18.26,2,0,132.11,13,36.85,22.17,0,0,54.39,0,14,12,3.4,61.43,11,0
Las Virgenes Unified,19,64683,"115,353,617","10,902.30","10,581",Unified                  ,1052,503,476,4,480,95.43,396,4,400,79.52,398,79.13,49.73,5,11.3,261.79,8.5,134.27,39.48,0,0,171.4,0,75.66,27.3,12.8,163.32,41.7,31.46
Lassen Union High,18,64139,"9,078,379",748.5,"12,129",High                     ,189,66,49,0,49,74.24,35,0,35,53.03,32,48.48,8,1,0,0,0,3.02,0,0,0,13.91,0,7.75,1.12,1.55,35.83,0,0
Lawndale Elementary,19,64691,"69,065,610","5,231.30","13,202",Elementary               ,115,117,62,0,62,52.99,33,0,33,28.21,30,25.64,30.5,7,3.8,199.36,38.1,69.38,27.5,2,0,156.9,0,27.02,15,2,31,40.7,0.25
Laytonville Unified,23,73916,"5,165,714",344.9,"14,976",Unified                  ,30,20,17,0,17,85,13,0,13,65,13,65,3.5,1,0,11.02,1.77,19.73,1.75,0,0,10.58,0,2.83,1.9,0.4,9.77,0,0
Le Grand Union High,24,65730,"6,896,183",473.1,"14,576",High                     ,115,48,20,0,20,41.67,10,0,10,20.83,8,16.67,3.5,1,0,0,0.5,5,0,0,0,19.8,0,5,1.8,1.9,28.8,0,0
Lemoore Union High,16,63982,"21,260,321","1,814.10","11,720",High                     ,516,159,118,0,118,74.21,78,0,78,49.06,74,46.54,7,2,0,0,2.14,9.17,0,0,0,49.51,0,19,7,6.74,103.14,3,1.27
Liberty Union High,7,61721,"82,962,944","7,746.90","10,709",High                     ,2117,923,766,0,766,82.99,479,0,479,51.9,465,50.38,21.25,3.8,0,0,11.7,75.26,0,0,0,106.96,0,50.75,17,15.4,364.44,7.6,1
Lincoln Unified,39,68569,"88,013,647","8,583.40","10,254",Unified                  ,741,238,206,0,206,86.55,150,0,150,63.03,143,60.08,37.62,6,9.8,232.28,15.17,95.69,29.3,0,0,127.87,0,36.78,24.25,11,138.7,44.7,4
Linden Unified,39,68577,"23,901,297","2,159.30","11,069",Unified                  ,153,67,61,0,61,91.04,41,0,41,61.19,41,61.19,10,1,1,53.89,7.75,33.93,6,0,0,31.56,0,13.75,6.78,2,33.32,5,0.25
Lindsay Unified,54,71993,"56,858,330","3,944.10","14,416",Unified                  ,294,111,54,0,54,48.65,18,0,18,16.22,16,14.41,38.87,6,2,96.37,26.63,42.27,14.33,0,0,103.62,0,25.42,19.9,2.95,58.1,14.95,3.73
Live Oak Unified,51,71399,"19,940,840","1,782.00","11,190",Unified                  ,134,60,42,0,42,70,33,0,33,55,28,46.67,5,1,0,51.49,4,30.02,8.2,0,0,44.57,0,12.47,7,1,29.52,2,0
Livermore Valley Joint Unified,1,61200,"144,176,237","13,242.90","10,887",Unified                  ,1091,531,492,0,492,92.66,414,0,414,77.97,403,75.89,41.11,8,2,338.85,25.13,164.38,55.11,0,0,159.51,0,56.42,31.85,7.58,199.59,32.57,3.1
Lodi Unified,39,68585,"307,299,186","27,148.10","11,319",Unified                  ,2304,819,658,0,658,80.34,534,0,534,65.2,490,59.83,139.63,10.5,10.73,806.92,56.11,443.82,113.55,0,0,511.94,0,134.87,85.2,18.55,417.89,83.65,4.74
Lompoc Unified,42,69229,"100,928,744","9,092.60","11,100",Unified                  ,657,184,147,0,147,79.89,99,0,99,53.8,95,51.63,18.5,5,4,262.94,28.22,100.36,47.57,0,0,225.45,0,56.14,25.71,10.25,139.63,28.9,0.5
Long Beach Unified,19,64725,"866,039,394","70,827.00","12,228",Unified                  ,6019,4994,2724,0,2724,54.55,1597,0,1597,31.98,1519,30.42,200.33,30.5,48.4,0,291.38,763.9,243.42,22.19,0,0,0,268.03,158.23,54.15,922.53,160.72,6.62
Loomis Union Elementary,31,66845,"22,432,509","2,437.40","9,203",Elementary               ,43,23,22,0,22,95.65,19,0,19,82.61,18,78.26,9,2,1,144.61,3.8,61.18,21.51,0,0,51.44,0,30.34,12,0,19.35,12.54,3
Los Alamitos Unified,30,73924,"101,405,247","9,537.40","10,632",Unified                  ,831,564,523,2,525,93.09,418,2,420,74.47,412,73.05,25.2,3,2,219.05,20.77,102.95,37.25,0,0,119.35,0,29.51,18.4,6,116.02,22.49,0.33
Los Angeles Unified,19,64733,"6,740,958,848","477,630.70","14,113",Unified                  ,42372,25633,14247,13,14260,55.63,8032,11,8043,31.38,7440,29.03,0,639.5,325.6,0,0,0,0,1,0,0,0,0,0,471.54,0,0,45.99
Los Banos Unified,24,65755,"115,018,239","10,286.70","11,181",Unified                  ,798,266,164,0,164,61.65,98,0,98,36.84,93,34.96,23,2,5,246.73,7,114.57,35,0,0,206.5,0,60.6,36.65,6,149.37,55.9,0
Los Gatos-Saratoga Joint Union High,43,69534,"53,230,168","3,273.60","16,260",High                     ,797,589,572,6,578,98.13,538,6,544,92.36,541,91.85,10,3,0,0.13,4.38,13.5,0,0,0,67.24,0,14,8,9.2,160.89,4.6,3.8
Lucerne Valley Unified,36,75051,"9,925,047",680.6,"14,583",Unified                  ,191,30,22,0,22,73.33,19,0,19,63.33,17,56.67,3.72,0.9,0,33.85,13,23.62,4.81,0,0,36.23,0,32,12.35,3.9,105.4,1,4.47
Lucia Mar Unified,40,68759,"110,262,122","9,992.30","11,035",Unified                  ,862,382,340,1,341,89.27,268,1,269,70.42,264,69.11,22.75,5,2,267.4,57.34,152.12,41.22,0,0,164.45,0,48.91,28,9,179.47,22.6,4.54
Lynwood Unified,19,64774,"161,175,645","13,313.80","12,106",Unified                  ,1133,932,323,0,323,34.66,104,0,104,11.16,91,9.76,61,12,4.8,343.45,12.75,131.5,49.5,0,0,243.5,0,129.5,34,12,175.51,64,0.5
Madera Unified,20,65243,"223,204,359","18,982.90","11,758",Unified                  ,1276,557,298,0,298,53.5,161,0,161,28.9,141,25.31,33.13,5,25,534.57,48.11,140.07,92.5,4,0,484.17,0,89.55,69.89,20,237.88,36.66,2.1
Mammoth Unified,26,73692,"13,274,183","1,137.50","11,669",Unified                  ,81,37,35,0,35,94.59,26,0,26,70.27,26,70.27,0,1,0.5,32.1,1.63,11,5,0,0,21.25,0,10,3,1.45,19.53,3.4,0
