DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
San Francisco Unified,38,68478,"729,813,887","50,381.90","14,486",Unified                  ,4546,2956,2247,1,2248,76.05,1957,1,1958,66.24,1807,61.13,0,130.48,49.7,0,663.86,770.88,232.5,5.6,0,496.7,0,266.43,238.37,60.9,0,435.96,0
San Gabriel Unified,19,75291,"59,791,650","5,008.40","11,938",Unified                  ,970,364,316,0,316,86.81,274,0,274,75.27,261,71.7,19,4,5,124.45,24.45,109.83,18.2,0,0,96.02,0,35.8,40.52,13.5,145.08,20.5,22.49
San Jacinto Unified,33,67249,"113,369,388","9,462.20","11,981",Unified                  ,806,317,186,0,186,58.68,96,0,96,30.28,83,26.18,52.25,5,9,291.25,68.35,98.88,38.28,0,0,171.49,0,57.95,26,6,136.42,33.6,6.54
San Jose Unified,43,69666,"340,998,187","28,981.70","11,766",Unified                  ,2655,2228,1431,8,1439,64.59,991,8,999,44.84,952,42.73,125.85,11,41.35,776.41,162.55,199.71,101.62,0,0,549.27,0,158.33,87.15,29.3,464.7,85.4,15.3
San Juan Unified,34,67447,"431,015,576","37,512.70","11,490",Unified                  ,4342,1360,1146,5,1151,84.63,899,4,903,66.4,872,64.12,7,0,0,26,1,8.08,4,0,0,17.26,0,6.5,2.2,0,16.2,0,0
San Leandro Unified,1,61291,"96,694,614","8,436.10","11,462",Unified                  ,785,360,245,0,245,68.06,154,0,154,42.78,142,39.44,39.66,4,4,213.02,15,102.15,34.18,1,0,99.3,0,32.53,20,6,125,22.8,0
San Lorenzo Unified,1,61309,"120,682,601","9,938.50","12,143",Unified                  ,1023,471,327,0,327,69.43,249,0,249,52.87,224,47.56,27.44,3.5,7.45,266.74,21.7,141.09,45.18,0,0,149.7,0,48.53,27.4,9.05,183.85,29.1,4.27
San Lorenzo Valley Unified,44,69807,"24,760,063","2,191.40","11,299",Unified                  ,282,108,97,2,99,91.67,80,2,82,75.93,80,74.07,4,3,1,77.5,17.38,23.89,11.38,0,0,55.01,0,17.21,10.15,2,115.51,5.6,0
San Luis Coastal Unified,40,68809,"88,293,090","7,175.50","12,305",Unified                  ,591,311,276,1,277,89.07,252,1,253,81.35,241,77.49,25,4,7.1,205.37,7.8,130.16,29.67,0,0,134.46,0,42.68,24.4,5,109.71,29.3,1
San Marcos Unified,37,73791,"211,089,616","20,109.00","10,497",Unified                  ,1493,845,723,0,723,85.56,525,0,525,62.13,514,60.83,57.21,10,11,329.69,396.32,237.54,39.83,0,0,274.46,0,66.04,48.3,15,220.06,109.8,0
San Marino Unified,19,64964,"39,996,967","2,987.30","13,389",Unified                  ,305,183,174,4,178,97.27,172,4,176,96.17,174,95.08,12,2,2,81.28,1.4,58.54,9.92,0,0,51.9,0,13,7,6,55.35,6,0
San Mateo Union High,41,69047,"149,298,247","8,393.50","17,787",High                     ,2406,1415,1275,8,1283,90.67,1107,8,1115,78.8,1087,76.82,34.8,5,0,0,8.36,69.9,0,0.9,0,198.25,0,88.05,18.73,26.44,457.7,20.5,7
San Rafael City High,21,65466,"34,927,415","2,483.00","14,067",High                     ,608,284,233,0,233,82.04,171,0,171,60.21,169,59.51,9.06,1.5,0,0,0,11.88,0,0,0,26.59,0,17.01,6,5.8,116.04,0.5,3.16
San Ramon Valley Unified,7,61804,"328,841,411","31,428.30","10,463",Unified                  ,2601,1630,1550,23,1573,96.5,1435,23,1458,89.45,1438,88.22,64.5,5,13.8,783.69,33.96,381.47,99.93,0,0,377.59,0,131.51,85.3,25.48,450.51,83.2,5.32
Sanger Unified,10,62414,"115,196,125","10,132.90","11,369",Unified                  ,808,371,234,0,234,63.07,125,0,125,33.69,118,31.81,37.3,12,1,323,56.53,91.53,53.59,0.6,0,253.82,0,52.37,41.8,0,146.9,33.15,1
Santa Ana Unified,30,66670,"616,944,655","46,710.00","13,208",Unified                  ,4070,3384,1381,4,1385,40.93,862,4,866,25.59,759,22.43,61.47,12,23,0,295.23,505.54,163.73,0,0,903.25,0,225.62,108.37,38,676.7,149.65,0
Santa Barbara Unified,42,76786,"155,574,179","12,850.00","12,107",Unified                  ,1860,875,747,0,747,85.37,630,0,630,72,609,69.6,4.37,9,8.19,321.1,64.18,175.16,36.14,0,0,275.04,0,83.95,44.96,18.12,275.3,43.12,3.43
Santa Clara Unified,43,69674,"248,770,335","14,717.30","16,903",Unified                  ,1118,522,460,1,461,88.31,390,1,391,74.9,377,72.22,38.11,9,10.2,377.09,51.32,209.18,62.53,0,0,281.31,0,76,46,14,189.48,70.1,9.5
Santa Maria Joint Union High,42,69310,"95,402,725","7,378.50","12,930",High                     ,2010,474,331,0,331,69.83,227,0,227,47.89,199,41.98,23.19,5,0,0,17.48,81.09,0,0,0,174.92,0,62.5,13,22,327.59,7.4,1.83
Santa Monica-Malibu Unified,19,64980,"155,650,414","10,294.20","15,120",Unified                  ,902,530,427,0,427,80.57,339,0,339,63.96,330,62.26,28.8,6,7,285.07,53.06,262.24,39.58,0,0,263.62,0,51.1,30.8,17.2,179.62,50.44,6.5
Santa Paula Unified,56,76828,"66,140,006","5,105.10","12,956",Unified                  ,411,164,110,0,110,67.07,69,0,69,42.07,67,40.85,18.51,3,10,147,35.7,51.77,20.75,0,0,122.88,0,24.07,15,6.6,73.08,12,1.17
Santa Ynez Valley Union High,42,69328,"10,633,864",908,"11,712",High                     ,239,133,117,0,117,87.97,96,0,96,72.18,91,68.42,5,1,0,0,3,0,0,0,0,19,0,6,2,3,48.6,0,0
Scott Valley Unified,47,76455,"7,738,589",632,"12,245",Unified                  ,57,34,32,0,32,94.12,29,0,29,85.29,28,82.35,4.44,0.9,0.3,18.71,0,10.84,4.05,0,0,29.71,0,5.63,4.06,0.7,13.58,0,0
Scotts Valley Unified,44,75432,"24,612,553","2,333.40","10,548",Unified                  ,171,90,83,0,83,92.22,68,0,68,75.56,67,74.44,4.44,0.9,0.3,18.71,0,10.84,4.05,0,0,29.71,0,5.63,4.06,0.7,13.58,0,0
Selma Unified,10,62430,"76,327,679","6,139.50","12,432",Unified                  ,477,183,110,0,110,60.11,69,0,69,37.7,61,33.33,42.2,4,0,174.71,37.75,71.92,21.64,1,0,144.32,0,36.5,33.2,0,82.21,34.6,6.1
Sequoia Union High,41,69062,"143,976,167","8,205.70","17,546",High                     ,2461,1438,1238,1,1239,86.16,1057,1,1058,73.57,1032,71.77,44,8.6,0,0,46.76,142,0,0,0,164,0,69,25,29.1,508.15,26.3,2
Shasta Union High,45,70136,"53,655,827","4,031.90","13,308",High                     ,1158,363,327,0,327,90.08,275,0,275,75.76,264,72.73,22.13,4,0,22.82,1,45.16,0,0,0,86.45,0,45.38,17.6,16.9,228.84,9.6,0
Shoreline Unified,21,73361,"13,174,761",477.8,"27,574",Unified                  ,29,20,12,0,12,60,7,0,7,35,7,35,4.5,1,1,18.76,0.85,5,2.14,0,0,19.18,0,2.7,2.3,1,12.8,1,1.13
Sierra Sands Unified,15,73742,"50,111,517","4,823.10","10,390",Unified                  ,355,110,99,0,99,90,75,0,75,68.18,74,67.27,20.06,4,9.5,132.64,11.83,93.93,20.17,0,0,101.3,0,26.28,14.28,5.3,70.25,4.84,0
Sierra Unified,10,75275,"15,966,163","1,200.80","13,297",Unified                  ,135,49,41,0,41,83.67,35,0,35,71.43,35,71.43,2,0.7,0,18.77,0,13.84,2.29,0,0,16.38,0,6,1.98,0,11.49,0,1
Silver Valley Unified,36,73890,"28,636,107","1,997.50","14,336",Unified                  ,78,25,23,0,23,92,18,0,18,72,18,72,14.5,1,0,70.19,3.17,20.28,17.17,0,0,41.26,0,22.88,8,1.34,25.88,7,0
Simi Valley Unified,56,72603,"166,206,169","15,970.40","10,407",Unified                  ,1518,502,466,0,466,92.83,377,0,377,75.1,370,73.71,49.04,5,8,379.69,12.5,252.55,58.58,0,0,224.05,0,165.43,44,11.85,245.35,90.4,0
Siskiyou Union High,47,70466,"8,145,279",508.2,"16,027",High                     ,134,52,48,0,48,92.31,35,0,35,67.31,34,65.38,3.5,0.7,0,0,0,2.26,0,0,0,11.94,0,6,3.15,2.32,39.16,0,0
Snowline Joint Unified,36,73957,"78,965,925","7,047.20","11,205",Unified                  ,553,204,169,0,169,82.84,135,0,135,66.18,128,62.75,24.32,4,5.23,187.4,13.63,56.2,22,0,0,130.07,0,37.54,19,2,112.7,11,0.25
Soledad Unified,27,75440,"56,357,997","4,634.20","12,161",Unified                  ,356,161,73,1,74,45.96,21,1,22,13.66,20,12.42,11.38,4,7,120.2,22.12,59.08,16.67,0,0,111.82,0,47.98,11,6.9,68.36,13,0.17
Sonoma Valley Unified,49,70953,"49,827,396","3,725.00","13,377",Unified                  ,312,129,97,0,97,75.19,73,0,73,56.59,70,54.26,12.72,3,4.8,127.32,10.57,95.29,18.08,0,0,105.75,0,34.22,16.4,4.95,72.81,23.59,0.87
Sonora Union High,55,72389,"12,081,331",964.7,"12,523",High                     ,251,57,54,0,54,94.74,45,0,45,78.95,45,78.95,2.75,1,0,0,0,5.42,0,0,0,36.51,0,9,3,4,44.29,1,0
South Monterey County Joint Union High,27,66068,"26,219,839","2,149.20","12,200",High                     ,507,143,74,0,74,51.75,34,0,34,23.78,34,23.78,11,1,0,0,1.83,21.42,0,0,0,28.74,0,15.43,8.59,3.86,100.83,0,0
South Pasadena Unified,19,65029,"48,612,678","4,643.80","10,468",Unified                  ,391,230,214,2,216,93.91,187,2,189,82.17,186,80.87,18,4,3.7,114.85,5,31.44,19.33,0,0,53.75,0,26.7,11,5.4,64.43,12.1,0
South San Francisco Unified,41,69070,"96,000,351","8,333.10","11,520",Unified                  ,720,319,255,0,255,79.94,171,0,171,53.61,158,49.53,52.23,6,5.5,233.8,24.5,94.15,34.1,2,0,99.56,0,60.82,30.5,10.3,128.5,30.31,0.6
Southern Humboldt Joint Unified,12,63040,"9,171,522",687,"13,349",Unified                  ,47,21,17,0,17,80.95,14,0,14,66.67,14,66.67,5.63,0,0,25.73,1,8.06,3.67,0,0,26.95,0,5.75,1.98,0,11.12,1.75,0
Southern Kern Unified,15,63776,"42,868,551","3,321.40","12,907",Unified                  ,248,38,27,0,27,71.05,14,0,14,36.84,14,36.84,9,2,2,100.92,6,81.33,15.78,0,0,107.88,0,20.75,14,3,57.33,12.8,2.67
Spencer Valley Elementary,37,68403,"2,628,377",36.4,"72,228",Elementary               ,306,18,14,0,14,77.78,8,0,8,44.44,8,44.44,0,0,0,35.74,5.31,0,5.49,0,0,2.51,0,18.88,17.32,0,36.97,17.24,0
Stockton Unified,39,68676,"425,644,603","32,923.80","12,928",Unified                  ,2559,963,567,0,567,58.88,336,0,336,34.89,305,31.67,225.26,4,38.1,906.24,128.56,488.09,147.65,0,0,750.27,0,231.21,137.54,22.78,416.23,103.96,26.83
Summerville Union High,55,72413,"6,289,598",391,"16,088",High                     ,228,61,53,0,53,86.89,38,0,38,62.3,37,60.66,5,0,0,12.06,0.2,6.73,1.78,0,0,21.33,0,9.5,5.28,0,38.33,1,0
Sutter Union High,51,71449,"7,522,999",737.3,"10,203",High                     ,186,63,50,0,50,79.37,36,0,36,57.14,34,53.97,0,0,0,0,0,0,0,0,0,17,0,8.5,1.4,2,34.47,0.8,0
Sweetwater Union High,37,68411,"474,701,050","37,046.90","12,814",High                     ,8078,3398,2657,1,2658,78.22,1717,0,1717,50.53,1643,48.35,228.25,20,30.8,498.01,181.93,565.6,3.65,0,0,490.75,0,235.07,105.6,86.2,0,76.6,20.09
Taft Union High,15,63818,"23,769,174",945.1,"25,149",High                     ,250,47,30,0,30,63.83,16,0,16,34.04,14,29.79,13,1,0,0,3.84,16,0,0,0,41,0,12,3.3,3.49,71.07,2.5,1
Tahoe-Truckee Unified,31,66944,"60,647,978","3,600.30","16,845",Unified                  ,263,152,130,1,131,86.18,93,0,93,61.18,92,60.53,31,2,6.6,117.18,22.38,36.22,18.4,2,0,48.76,0,25.75,15.23,5.5,66.26,27.5,1.08
Tamalpais Union High,21,65482,"83,965,986","4,562.00","18,405",High                     ,1116,522,507,0,507,97.13,434,0,434,83.14,432,82.76,19,5.2,0,0.05,6.28,29.53,0,0,0,67.41,0,32.68,18,17.9,262.06,8.2,0
Tehachapi Unified,15,63826,"41,692,206","4,137.20","10,078",Unified                  ,344,90,77,1,78,86.67,55,1,56,62.22,52,57.78,12.5,1,1,108.31,11.64,67.52,16.53,0,0,69.67,0,19.75,9.99,3,58.1,11.39,1.25
Temecula Valley Unified,33,75192,"266,975,514","26,992.70","9,891",Unified                  ,2534,1542,1325,1,1326,85.99,976,0,976,63.29,946,61.35,69.49,5,10.95,713.81,66.54,317.64,98.42,1,0,396.55,0,126.3,61.12,18.28,378.04,142,11.42
Temple City Unified,19,65052,"56,519,709","5,697.60","9,920",Unified                  ,548,352,326,0,326,92.61,314,2,316,89.77,306,86.93,29.3,1,4.5,136.43,13.76,110.43,20.42,0,0,89.01,0,77.59,12,8,88.35,18.8,0.7
Templeton Unified,40,68841,"23,877,711","2,265.70","10,539",Unified                  ,218,99,95,0,95,95.96,72,0,72,72.73,72,72.73,4.31,1,2.39,56.82,6,28.77,8.12,0,0,48.1,0,10.62,6,3,40.25,10.99,1
Torrance Unified,19,65060,"232,233,604","22,535.30","10,305",Unified                  ,2003,1004,893,2,895,89.14,754,1,755,75.2,734,73.11,64.2,7,15.1,540.9,44.5,334.3,70.33,0,0,535.3,0,119.4,61.12,22.44,321.46,65.6,4.83
Tracy Joint Unified,39,75499,"147,731,305","14,201.00","10,403",Unified                  ,1625,664,533,0,533,80.27,381,0,381,57.38,364,54.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Unified,48,70565,"54,296,711","5,258.40","10,326",Unified                  ,435,223,194,0,194,87,131,0,131,58.74,128,57.4,7,3,1,128.82,10.18,68.42,22,0,0,103.56,0,22.26,12.9,5,82,17.8,1.92
Trinity Alps Unified,53,76513,"9,269,783",704.2,"13,164",Unified                  ,89,30,21,0,21,70,17,0,17,56.67,14,46.67,3,1,0.25,18.71,3.28,19.75,1.25,0,0,17,0,6,1.9,0.5,20.05,0,0
Tulare Joint Union High,54,72249,"68,147,082","5,274.40","12,920",High                     ,1325,482,320,0,320,66.39,220,0,220,45.64,198,41.08,19,3,0,0,5,21,0,0,0,89,0,53.5,16.69,21.63,249.73,2.1,1
Tulelake Basin Joint Unified,25,73593,"5,724,427",367.2,"15,588",Unified                  ,33,23,10,0,10,43.48,3,0,3,13.04,3,13.04,3,0,0,12.97,0,5,2,0,0,12,0,5,1,1,8.29,0,0
Turlock Unified,50,75739,"142,328,712","13,406.60","10,616",Unified                  ,1194,510,384,0,384,75.29,258,0,258,50.59,243,47.65,43.5,6,4,336.33,41.21,193.9,55.56,0,0,235.92,0,82.06,38.49,11.98,216.2,30.7,0.82
Tustin Unified,30,73643,"241,071,049","23,185.60","10,397",Unified                  ,1875,1093,912,5,917,83.9,763,5,768,70.27,745,68.16,44.51,9,11.15,503.39,52.42,316.4,64.53,0,0,380.99,0,94.17,46,15.95,306.88,107.95,0
Twin Rivers Unified,34,76505,"316,604,318","24,589.80","12,875",Unified                  ,2762,1162,432,0,432,37.18,222,0,222,19.1,188,16.18,238.44,14.5,20.1,796.44,169.63,376.31,125.74,0,0,529.91,0,229.07,99.6,18.2,418.38,94.8,37.55
Ukiah Unified,23,65615,"68,447,381","5,574.70","12,278",Unified                  ,508,121,100,0,100,82.64,81,0,81,66.94,77,63.64,25,5,3,174.69,21.3,123.14,27.04,0,0,105.56,0,53.38,21.53,6,101.24,20.45,1
Upland Unified,36,75069,"114,965,358","10,355.40","11,102",Unified                  ,864,404,321,0,321,79.46,218,0,218,53.96,207,51.24,32.63,5,4.2,270.48,27.38,124.4,41.6,1,0,154.04,0,45.13,18,10.8,147.67,19.8,7.6
Upper Lake Unified,17,76976,"10,168,813",762.7,"13,333",Unified                  ,73,25,16,0,16,64,6,0,6,24,6,24,5.5,1,0,23.22,1,13.34,3,0,0,21.63,0,4.5,2.95,1,15.83,2,0
Vacaville Unified,48,70573,"115,039,998","10,849.50","10,603",Unified                  ,970,446,360,1,361,80.94,286,1,287,64.35,277,62.11,53,4,4.4,320.94,18.8,120.14,47.19,0,0,203.26,0,83.34,38.45,9,200.28,33.8,0
Val Verde Unified,33,75242,"216,557,916","19,355.20","11,189",Unified                  ,1590,1417,539,0,539,38.04,240,0,240,16.94,227,16.02,86.9,7,10,470.35,59,186.31,56.28,0,0,302.98,0,156,41,17,270.21,42.2,12.47
Vallejo City Unified,48,70581,"143,872,917","11,348.30","12,678",Unified                  ,997,369,234,0,234,63.41,127,0,127,34.42,118,31.98,47.75,9,0,347.62,68.78,221.86,54.61,0,0,295.53,0,79.5,45,11,163.7,19.91,2.33
Valley Center-Pauma Unified,37,75614,"45,355,894","3,775.10","12,015",Unified                  ,311,133,105,0,105,78.95,72,0,72,54.14,68,51.13,18.75,5,3,103.32,13.7,26.64,15.17,0,0,87.42,0,21.19,9.5,2,53.26,13.5,2.4
Ventura Unified,56,72652,"174,441,131","15,905.90","10,967",Unified                  ,1397,578,506,0,506,87.54,367,0,367,63.49,357,61.76,49.13,6,18.02,402.92,63.82,172.83,58.89,0,0,308.53,0,94.24,42,22.2,227.64,55.28,2
Victor Valley Union High,36,67934,"123,712,182","9,546.10","12,960",High                     ,2324,881,577,0,577,65.49,308,0,308,34.96,289,32.8,19,4,4,117.09,19.81,127.62,0,1,0,209.19,0,85.5,50.49,18.5,362.08,15,19.01
Visalia Unified,54,72256,"291,946,925","27,508.20","10,613",Unified                  ,2129,582,459,0,459,78.87,313,0,313,53.78,298,51.2,94.38,8.25,0,633.1,165.32,377.01,90.58,0,0,564.72,0,139.21,67.15,14.6,403.91,87.42,18.6
Vista Unified,37,68452,"252,230,308","20,280.90","12,437",Unified                  ,2919,779,647,0,647,83.06,467,0,467,59.95,450,57.77,29,4,6,158,5,111.54,16,2,0,110.25,5,36.59,13,6,91,69.13,0
Walnut Valley Unified,19,73460,"139,190,651","13,968.40","9,965",Unified                  ,1491,1107,1001,15,1016,91.78,944,15,959,86.63,930,84.01,39,5,12,302.37,55.88,95.6,39.61,0,0,242.84,0,53.53,27.75,22,226.47,46.3,0
Wasco Union High,15,63859,"20,606,774","1,740.10","11,842",High                     ,449,152,71,0,71,46.71,35,0,35,23.03,32,21.05,5,1.5,0,0,5.9,6,0,0,0,37.75,0,16,4,6,84.8,0,0
Washington Unified,10,76778,"33,294,087","2,438.60","13,653",Unified                  ,347,133,57,0,57,42.86,30,0,30,22.56,24,18.05,22.25,6,0,233.92,37.35,58.13,33.58,0,0,191.43,0,31,22,5.7,104.87,16.6,1.8
Washington Unified,10,76778,"33,294,087","2,438.60","13,653",Unified                  ,561,247,168,0,168,68.02,99,0,99,40.08,92,37.25,22.25,6,0,233.92,37.35,58.13,33.58,0,0,191.43,0,31,22,5.7,104.87,16.6,1.8
Washington Unified,57,72694,"87,230,453","7,391.30","11,802",Unified                  ,347,133,57,0,57,42.86,30,0,30,22.56,24,18.05,22.25,6,0,233.92,37.35,58.13,33.58,0,0,191.43,0,31,22,5.7,104.87,16.6,1.8
Washington Unified,57,72694,"87,230,453","7,391.30","11,802",Unified                  ,561,247,168,0,168,68.02,99,0,99,40.08,92,37.25,22.25,6,0,233.92,37.35,58.13,33.58,0,0,191.43,0,31,22,5.7,104.87,16.6,1.8
Waterford Unified,50,75572,"21,219,592","1,688.20","12,569",Unified                  ,309,66,51,0,51,77.27,33,0,33,50,33,50,6,2,0.8,68.95,7.21,38.5,8.73,0,0,61.71,0,23.47,7.6,1.2,98.81,16.19,1
West Contra Costa Unified,7,61796,"343,879,508","26,808.60","12,827",Unified                  ,2381,1704,782,0,782,45.89,418,1,419,24.59,381,22.36,96.4,27,14,756.62,129.24,444.43,125.2,0,0,616.77,0,148.86,106.02,26.4,378.23,96.85,23.33
West Covina Unified,19,65094,"108,997,445","8,543.10","12,759",Unified                  ,1075,434,329,0,329,75.81,239,0,239,55.07,224,51.61,33.37,8,4.5,299.83,42.37,139.09,45.75,0,0,188.44,0,75.08,54.23,9.5,181.52,70.24,1.53
West Sonoma County Union High,49,70607,"22,661,014","1,752.10","12,934",High                     ,476,184,174,0,174,94.57,141,0,141,76.63,140,76.09,0,1,0,4.5,2,17,0,0,0,39,0,16,7,6.6,88.51,11.43,0
Western Placer Unified,31,66951,"69,186,158","6,672.10","10,370",Unified                  ,745,189,154,1,155,82.01,99,1,100,52.91,98,51.85,18.2,4,1.9,251.09,21.8,47.64,29.3,0,0,145.03,0,98.48,45.2,5.1,161.5,41.2,0.14
Wheatland Union High,58,72769,"8,445,348",725.7,"11,637",High                     ,145,55,43,0,43,78.18,33,0,33,60,31,56.36,0,0.3,0,0.03,0,3.6,0,0,0,15.5,0,6.81,2.5,1,34.17,0,0
Whittier Union High,19,65128,"151,583,565","11,269.10","13,451",High                     ,3192,1508,1077,0,1077,71.42,731,0,731,48.47,667,44.23,49.16,5,0,0.07,17.25,251.74,0,0,0,221.77,0,92.25,21,29.25,452.33,16.33,12.5
William S. Hart Union High,19,65136,"225,873,882","21,522.10","10,495",High                     ,4357,1985,1779,5,1784,89.87,1367,5,1372,69.12,1348,67.91,51,3.42,19.22,323.47,25.97,325.35,2,0,0,277,0,163.5,84.28,43.18,711.72,71.53,35.17
Williams Unified,6,61622,"14,591,370","1,248.90","11,683",Unified                  ,98,39,17,0,17,43.59,6,0,6,15.38,5,12.82,3.8,1.3,1,37.21,3.2,10.32,7,0,0,29.06,0,7.58,4.34,1,18.46,1.75,0
Willits Unified,23,65623,"19,074,492","1,410.50","13,524",Unified                  ,140,38,26,0,26,68.42,17,0,17,44.74,17,44.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willows Unified,11,62661,"13,007,961","1,372.50","9,478",Unified                  ,113,32,25,0,25,78.13,15,0,15,46.88,15,46.88,3.8,1,2,33.73,1,5.05,5,0,0,28.08,0,7.5,5,2,21.11,2,0
Windsor Unified,49,75358,"42,600,097","3,741.40","11,386",Unified                  ,449,141,117,0,117,82.98,67,0,67,47.52,64,45.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winters Joint Unified,57,72702,"17,297,066","1,456.50","11,876",Unified                  ,130,48,37,0,37,77.08,24,0,24,50,23,47.92,6.81,1,2,42.62,6.13,22.06,6,0,0,34.76,0,8.75,7,1,23.45,4.5,1
Wiseburn Unified,19,76869,"26,316,486","2,440.60","10,783",Unified                  ,429,214,169,0,169,78.97,111,0,111,51.87,106,49.53,13,2,4,102.2,11.2,51.49,13.8,0,0,55.34,0,20.6,16.35,8.96,82.84,20.08,0
Woodlake Unified,54,76794,"25,462,900","2,042.00","12,470",Unified                  ,158,43,27,0,27,62.79,16,0,16,37.21,15,34.88,12.75,0,0,54.03,0,26.25,8,0,0,72.75,0,12.75,7.9,2,32.25,0,5.74
Woodland Joint Unified,57,72710,"109,900,402","9,352.10","11,751",Unified                  ,732,282,192,0,192,68.09,116,0,116,41.13,106,37.59,19,6,3.9,262.94,31.5,99.5,42.51,0,0,192.75,0,46.75,25.8,7.9,149.17,36.15,1
Yosemite Unified,20,76414,"17,989,023","1,590.20","11,312",Unified                  ,223,90,74,0,74,82.22,50,0,50,55.56,49,54.44,5.4,2,0,41.66,3,21.26,5.58,0,0,49.64,0,16.67,10.94,1.8,44.81,4.31,5.94
Yreka Union High,47,70516,"8,416,421",551.3,"15,266",High                     ,135,51,39,0,39,76.47,21,0,21,41.18,21,41.18,3,0.95,0,0,1,2.31,0,0,0,8.5,0,4.94,0.85,2,34.44,1.94,0
Yuba City Unified,51,71464,"139,372,665","11,785.60","11,826",Unified                  ,959,267,209,1,210,78.65,143,1,144,53.93,138,51.69,29,5.6,20,366.69,27.44,100.97,49.46,0,0,285.28,0,87.19,41.09,16.4,201.75,43.76,55.58
Yucaipa-Calimesa Joint Unified,36,67959,"87,542,068","8,006.80","10,933",Unified                  ,773,336,276,0,276,82.14,211,0,211,62.8,203,60.42,67.75,5,8,263.66,25.62,100.01,36.58,0,0,124.27,0,65.97,23,7,130.11,24.6,0