District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
5.88,1.8,1,36.11,1.5,20.9,5.25,0,0,Kernville Union Elementary,33.26,0,4.2,2,0,0,2.99,0.14
0,0,0,11.5,0,4.96,2.5,0,0,Lakeside Union Elementary,11.68,0,5,2,0,0,0,0
18.38,2,0,95.05,18,54.19,16,0,0,Lamont Elementary,84,0,12.07,6.96,0,0,8,0
19.22,2,1.5,144.87,20.72,58.95,23.67,0,0,Richland Union Elementary,66.52,0,19.18,14,0,0,8.84,1
0,0,0,2.67,0,0,0.33,0,0,Linns Valley-Poso Flat Union,1,0,1,0,0,0,0,0
1,1,0,21.32,0,1,3.08,0,0,Lost Hills Union Elementary,27,0,3,0.95,0,0,1,0
0,0,0,1.29,0,0,0.16,0,0,Maple Elementary,0.99,0,0,0.55,0,0,0,0
2,1,1.32,113.31,78.34,16.3,21.58,0,0,Maricopa Unified,8.63,0,61.2,21.69,0.96,93.09,55.18,0
0,0.3,0,3.75,0.25,3,1.25,0,0,Mckittrick Elementary,2.5,0,1,1.1,0,0,0,0
0,0,0,5.5,0,1.26,0.5,0,0,Midway Elementary,3.82,0,1.13,1,0,0,0,0
16.25,1,1,78.48,3.03,38.66,10.5,0,0,Mojave Unified,108.35,0,14.07,7.3,1,37.76,7,4.75
7,2,2,54.25,6.7,19.47,9,0,0,Muroc Joint Unified,43.8,0,12,4,3,30.55,8,0
11,2.9,8.7,128.94,3.12,29.57,20.5,0,0,Norris Elementary,76.78,0,11.21,1.95,0,0,10.6,1
0,0,0,8,0,5.66,1,0,0,Pond Union Elementary,2.62,0,3,1,0,0,2,0
1,3,2,223.41,30.29,79.6,33,0,0,Rosedale Union Elementary,97.74,0,18,11,0,0,22,0
0,0.5,0,10,0.5,2,1,0,0,Semitropic Elementary,4,0,1,0.5,0,0,3,0
9,2,2,100.92,6,81.33,15.78,0,0,Southern Kern Unified,107.88,0,20.75,14,3,57.33,12.8,2.67
0,0,0,0,0,0,0,0,0,South Fork Union Elementary,0,0,0,0,0,0,0,0
9.63,1,1,116.77,3,38.67,19.72,0,0,Standard Elementary,68.96,0,10.21,9,0,0,12,1
0,0,0,0,0,0,0,0,0,Taft City Elementary,0,0,0,0,0,0,0,0
13,1,0,0,3.84,16,0,0,0,Taft Union High,41,0,12,3.3,3.49,71.07,2.5,1
12.5,1,1,108.31,11.64,67.52,16.53,0,0,Tehachapi Unified,69.67,0,19.75,9.99,3,58.1,11.39,1.25
5.5,1,2,33.01,0,7.5,4,0,0,Vineland Elementary,15,0,4,1,0,0,2,0
24.5,3,1,141.89,1,36.92,23.62,0,0,Wasco Union Elementary,62.6,0,21.92,10,0,0,27,0
5,1.5,0,0,5.9,6,0,0,0,Wasco Union High,37.75,0,16,4,6,84.8,0,0
3.75,1.7,0.25,38.5,3.29,9.98,6.5,0,0,Rio Bravo-Greeley Union Elementary,21.54,0,7.75,2.07,0,0,5.18,0
20.06,4,9.5,132.64,11.83,93.93,20.17,0,0,Sierra Sands Unified,101.3,0,26.28,14.28,5.3,70.25,4.84,0
16,2,4,84.57,12.17,21.26,13.29,0,0,Mcfarland Unified,75.19,0,22.3,12.65,2.65,45.59,9.9,0
2.88,2,0,20.83,0,7.05,3.33,0,0,El Tejon Unified,23.82,0,5.88,2.5,0.37,12.43,0.56,0
1,1,0.5,46.39,7.25,18.25,5.52,0,0,Armona Union Elementary,20,0,16.5,6.65,0,9.8,2.73,0
5,1.5,0,80.48,2.5,47.5,14.53,0,0,Central Union Elementary,33.25,0,16.25,8,0,0,4,0
3,4,1,91.81,21.14,22.48,13.25,0,0,Corcoran Joint Unified,15.63,0,20.75,12,2,40.76,2,0
17.75,4,4.5,213.42,12.5,56.62,33.25,0,0,Hanford Elementary,143.76,0,17.81,25,0,0,11.5,0
14.19,3,0,0,7,16,0,0,0,Hanford Joint Union High,65.72,0,36.32,12.75,12,158.92,4,0
0,0,0,15,0,7.91,2,0,0,Island Union Elementary,4.31,0,2.38,2,0,0,0,1
0,0,0,27,0,4,5,0,0,Kings River-Hardwick Union Elementary,17,0,3.5,2,0,0,0,2
4,1,0,14.3,7.55,22.15,2.7,0,0,Kit Carson Union Elementary,9,0,8,3.25,0,25.69,1,2.01
15,2,6,126.87,9.83,27,17.96,0,0,Lemoore Union Elementary,39,0,14.5,13.18,0,0,5,0.17
7,2,0,0,2.14,9.17,0,0,0,Lemoore Union High,49.51,0,19,7,6.74,103.14,3,1.27
9.72,0,1,69.83,12.66,28.89,12,0,0,Reef-Sunset Unified,63.37,0,13.97,10,0,29.75,0.95,0
7,1,0.75,41.19,1,25.75,5,0,0,Kelseyville Unified,49.75,0,11,4.5,1,27.9,4,5
18.94,2.5,2.6,77.24,14.66,48.35,12.95,0,0,Konocti Unified,95.34,0,19.24,11.9,1,38.66,7,0.17
7.69,1,1.8,45.59,0,17.67,5.64,0,0,Lakeport Unified,35.96,0,6,7,1.8,23.39,3,0
0,0,0,10.5,0,7.69,1.5,0,0,Lucerne Elementary,4.94,0,3,2,0,0,0,0
5.62,1,0,43.26,1.29,37.4,6.87,0,0,Middletown Unified,34.6,0,11.48,6.16,0,27.11,1.81,0
5.5,1,0,23.22,1,13.34,3,0,0,Upper Lake Unified,21.63,0,4.5,2.95,1,15.83,2,0
1.38,0,0,4.49,0,1.06,0.5,0,0,Big Valley Joint Unified,7.01,0,2,0.95,0,4.01,0,0
0,0,0,14.75,0.25,3.5,2,0,0,Janesville Union Elementary,6.5,0,3,1,0,0,0,0
0,0,0,8,1.3,3.29,1,0,0,Johnstonville Elementary,3.58,0,2.63,1,0,0,0,0
8,1,0,0,0,3.02,0,0,0,Lassen Union High,13.91,0,7.75,1.12,1.55,35.83,0,0
0,0,0,9.33,2.13,4.92,1.31,0,0,Ravendale-Termo Elementary,5.72,0,4.75,3.4,0,9.38,0.8,0.25
0,0,0,0,0,0,0,0,0,Richmond Elementary,0,0,0,0,0,0,0,0
0,0,0,8.6,0,1.3,1,0,0,Shaffer Union Elementary,2.83,0,2.31,1,0,0,0,0
3,1,0,42.33,0,18.12,6.61,0,0,Susanville Elementary,18.9,0,5.88,3,0,0,0,0
2.03,0,0,4.49,0,2.82,1,0,0,Westwood Unified,4.58,0,2,0.99,0,5.02,0,0
2,2,0,6.85,0,2.3,1.03,0,0,Fort Sage Unified,3.8,0,2.5,0,0,9.53,0,0
36,8,1,469.07,19.9,148.3,67.58,0,0,ABC Unified,416.44,0,81.13,56,9,288.3,83.6,3.67
69,7,0,22.72,61.28,363.1,0,0,0,Antelope Valley Union High,288,0,267,91,59.45,961.54,51.95,11.31
16.52,5,3.5,216.95,44.76,97.7,30.08,0,0,Arcadia Unified,195.4,0,32.84,19.33,10.5,131.95,24.34,1.3
43.26,6,4,217.65,31,147.23,36.17,0,0,Azusa Unified,149.12,0,64.98,26,8.8,121.84,17,3
39.5,4,3,358.64,25.75,230.92,57.67,0,0,Baldwin Park Unified,376.12,0,88.26,105.05,20.4,341.13,63,44.37
24,3,5,84.5,20.7,42.66,16,0,0,Bassett Unified,98.49,0,21.25,11,4,49.73,8,1
17.5,6,2.67,293.89,51.2,103.47,44.17,0,0,Bellflower Unified,152.85,0,52.82,29.5,15,182.2,17.5,2
16.5,2,2,129.83,28.9,43.78,12.5,0,0,Beverly Hills Unified,86.92,0,35,13.94,7.8,82.5,14.9,2.17
31.07,4,6.75,226.84,30.63,93.19,36.67,0,0,Bonita Unified,153.01,0,48.37,21,8.5,141.27,29,1
51.71,9.55,9,344.48,72.8,153.47,48.58,0,0,Burbank Unified,220.87,0,78.69,33.95,11,234.72,40.7,7.67
0,0,0,0,0,0,0,0,0,Castaic Union Elementary,0,0,0,0,0,0,0,0
33.75,4,0,0,35.77,64,0,0,0,Centinela Valley Union High,140.8,0,54.7,19.02,15.83,332.4,12.5,2.83
23.66,3,2,113.39,4.6,60.5,16.94,0,0,Charter Oak Unified,85.78,0,25.78,12.96,3.98,67.94,16.5,1
29.13,6.38,2,159.87,15.54,85.17,23.83,0,0,Claremont Unified,108,0,30.02,15.8,6,97.48,23.7,1.34
41,5,3,267.74,33.6,116.78,50.97,0,0,Covina-Valley Unified,197.18,0,69.59,29.8,9.5,182.3,25.5,6.1
20.75,5.5,5.6,173.22,21.25,166.27,28,0,0,Culver City Unified,50.32,0,33.38,12.9,9.4,94.89,29.8,0
58.5,6,12,485,78.3,314.08,68.4,0,0,Downey Unified,299.34,0,83.63,44,19.65,331.72,63.2,14.66
18.75,3,0,101.66,10.98,68.38,15,0,0,Duarte Unified,70.81,0,25.98,20,5.8,79.47,7.8,6.3
21,2,3,127.02,15.4,21,20.58,0,0,Eastside Union Elementary,57.25,0,15.75,11,0,0,10.51,1
28,3,0,300.9,19.75,126.08,42.99,0,0,East Whittier City Elementary,102.62,0,25.79,18,0,0,39.3,6.67
33.35,3,0,318.43,51.41,153.23,40.83,0,0,El Monte City Elementary,174.73,0,28.78,21,0,0,22,2.17
32.23,2,0,0,9.83,55.7,0,0,0,El Monte Union High,155.29,0,84.94,14,33,404.06,19,5
20,4.65,3.99,194.42,29.48,91.75,31.83,0,0,El Rancho Unified,177.25,0,35.75,20.99,10,118.63,33,4.14
9.75,0,2,76.47,11.4,34.42,11,0.5,0,El Segundo Unified,36.57,0,13.76,8.8,3,51.57,11,0
14.37,2,7,175.68,30,45.77,26.33,0,0,Garvey Elementary,106.74,0,23.65,11,0,0,17.96,0
82.75,7,9.6,607.34,93.45,271.13,90.32,0,0,Glendale Unified,451.12,0,104.16,58.1,15,331.55,70,5.83
22.76,4,3.98,176.39,27.47,83.88,24.67,0,0,Glendora Unified,78.85,0,27.2,13.97,6.88,106.06,16,2
0,0.5,0,12.96,0.47,32.18,1.46,0,0,Gorman Joint,56,0,19.5,5,0,85.59,1.7,0
0,0,0,0,0,0,0,0,0,Hawthorne Elementary,0,0,0,0,0,0,0,0
4.69,1,1,52.13,1,15.75,6,0,0,Hermosa Beach City Elementary,18.18,0,4.93,3,0,0,2,0
0,0.5,0,6.39,0.11,2.37,1.5,0,0,Hughes-Elizabeth Lakes Union Elementary,3,0,1.38,0.5,0,0,0,0
67,1,7.5,333.72,81.2,112.25,49.92,0,0,Inglewood Unified,179,0,84.9,40.9,9.5,116.79,29.8,0.18
12.32,3,0,101.76,19.83,38.82,16.29,0,0,Keppel Union Elementary,61.95,0,31.96,11,0,2.6,17.25,0
11.53,3,1.4,103.94,14.88,66.83,10.07,0,0,La Canada Unified,63.56,0,17.82,8.5,9,56.26,8.54,0.33
51,6,12,536.57,34,213,78.85,0,0,Lancaster Elementary,326.91,0,96.17,40,0,0,59,4
49.73,5,11.3,261.79,8.5,134.27,39.48,0,0,Las Virgenes Unified,171.4,0,75.66,27.3,12.8,163.32,41.7,31.46
30.5,7,3.8,199.36,38.1,69.38,27.5,2,0,Lawndale Elementary,156.9,0,27.02,15,2,31,40.7,0.25
0,0,0,0,0,0,0,0,0,Lennox Elementary,0,0,0,0,0,0,0,0
19.38,2,2,163.68,10.5,49.68,29.67,0,0,Little Lake City Elementary,44.77,0,18.98,11,0,0,8.5,0
200.33,30.5,48.4,0,291.38,763.9,243.42,22.19,0,Long Beach Unified,0,0,268.03,158.23,54.15,922.53,160.72,6.62
0,639.5,325.6,0,0,0,0,1,0,Los Angeles Unified,0,0,0,0,471.54,0,0,45.99
0,0,0,0,0,0,0,0,0,Los Nietos Elementary,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Lowell Joint Elementary,0,0,0,0,0,0,0,0
61,12,4.8,343.45,12.75,131.5,49.5,0,0,Lynwood Unified,243.5,0,129.5,34,12,175.51,64,0.5
33,5.5,4.8,132.2,14,82.5,21.83,0,0,Monrovia Unified,93.32,0,27.15,14.5,5.13,78.1,16.5,1.33
114,5,13,563.71,82.88,233.63,92.56,0,0,Montebello Unified,607.81,0,165.19,61.8,20,359.29,80.54,0.33
0,0.2,0.06,1,0,1,0,0.06,0,Mountain View Elementary,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Newhall Elementary,0,0,0,0,0,0,0,0
103.95,6,13.5,424.26,80.21,281.26,59.53,0,0,Norwalk-La Mirada Unified,318.2,0,78.94,44.8,19.9,248.36,53.39,16.76
100,21,5.5,710.32,110.62,217.87,93.89,0,0,Palmdale Elementary,333.91,0,127.18,76.75,0,91.65,89.15,19.26
26.4,4,6,246.51,39.58,230.83,34.5,0,0,Palos Verdes Peninsula Unified,166.2,0,50.93,23.8,14,173.81,39.4,2
40.58,5,23.5,373.92,120.93,151.08,57.5,0,0,Paramount Unified,258.93,0,75.74,36,16.97,199.63,24,0
110.75,9.7,5.5,417.36,145.69,419.88,70.35,2.5,0,Pasadena Unified,346.92,0,133.62,46.6,10.5,212.82,33.3,54.67
177.95,11,10.62,606.17,530.58,301.56,89.82,0,0,Pomona Unified,381.91,0,162.71,72.5,21,337.42,64.8,331.92
12,2,0,98.25,4.5,26.98,11.75,0,0,Rosemead Elementary,51.83,0,13.94,6,0,0,4,0
12,2,2,81.28,1.4,58.54,9.92,0,0,San Marino Unified,51.9,0,13,7,6,55.35,6,0
28.8,6,7,285.07,53.06,262.24,39.58,0,0,Santa Monica-Malibu Unified,263.62,0,51.1,30.8,17.2,179.62,50.44,6.5
0,0,0,0,0,0,0,0,0,Saugus Union Elementary,0,0,0,0,0,0,0,0
18,4,3.7,114.85,5,31.44,19.33,0,0,South Pasadena Unified,53.75,0,26.7,11,5.4,64.43,12.1,0
22.44,2,1,98.09,2,41.65,11.83,0,0,South Whittier Elementary,42.44,0,22.79,7.98,0,0,16.5,10.48
0,0,0,0,0,0,0,0,0,Sulphur Springs Union Elementary,0,0,0,0,0,0,0,0
29.3,1,4.5,136.43,13.76,110.43,20.42,0,0,Temple City Unified,89.01,0,77.59,12,8,88.35,18.8,0.7
64.2,7,15.1,540.9,44.5,334.3,70.33,0,0,Torrance Unified,535.3,0,119.4,61.12,22.44,321.46,65.6,4.83
4,1,0,44,1,9.91,6,0,0,Valle Lindo Elementary,12.08,0,4,2,0,0,1,1
33.37,8,4.5,299.83,42.37,139.09,45.75,0,0,West Covina Unified,188.44,0,75.08,54.23,9.5,181.52,70.24,1.53
25.74,4,9,311.51,25.15,170.51,39.42,0,0,Westside Union Elementary,123.91,0,26.19,20.95,0,0,32.89,0
28,3,0,300.9,19.75,126.08,42.99,0,0,Whittier City Elementary,102.62,0,25.79,18,0,0,39.3,6.67
49.16,5,0,0.07,17.25,251.74,0,0,0,Whittier Union High,221.77,0,92.25,21,29.25,452.33,16.33,12.5
51,3.42,19.22,323.47,25.97,325.35,2,0,0,William S. Hart Union High,277,0,163.5,84.28,43.18,711.72,71.53,35.17
3.63,1,0,48,6,16.99,8,0,0,Wilsona Elementary,26.25,0,5.63,4,0,0,6,0
153,2,11.5,574.61,81.09,291.5,84.25,0,0,Compton Unified,555.25,0,133.6,111.75,17.5,220.65,113.49,55.87
60.51,6,10.4,459.57,50.37,167.64,73.1,0,0,Hacienda La Puente Unified,526.59,0,59.87,57,21,242.4,58.2,4
61,8,4.5,328.12,30.79,216,58.75,0,0,Rowland Unified,365,0,89,42.98,12,183.43,148.96,1.2
39,5,12,302.37,55.88,95.6,39.61,0,0,Walnut Valley Unified,242.84,0,53.53,27.75,22,226.47,46.3,0
19,4,5,124.45,24.45,109.83,18.2,0,0,San Gabriel Unified,96.02,0,35.8,40.52,13.5,145.08,20.5,22.49
5,1,3,258.38,75.14,105.29,37.08,0,0,Acton-Agua Dulce Unified,66.52,0,180.63,57.47,5.7,323.27,85.76,22.22
19.69,6,4.6,148.63,4.78,137.35,17.17,0,0,Manhattan Beach Unified,101.55,0,22.07,14.4,8.7,100.7,20,0.33
22.68,2.5,11.1,234.7,46.29,153.94,36,0,0,Redondo Beach Unified,125.99,0,47.12,19,7.9,120.92,22.61,0
76,13,0,321.29,70.58,342,52.5,0,0,Alhambra Unified,324,0,146,50.89,17.75,264.28,80.84,6.25
13,2,4,102.2,11.2,51.49,13.8,0,0,Wiseburn Unified,55.34,0,20.6,16.35,8.96,82.84,20.08,0
2,0,0.5,15.63,0,6.5,2.5,0,0,Alview-Dairyland Union Elementary,10,0,2,0.38,0,0,0,0
3.37,0.9,0,35.59,4.68,13.49,4.63,0,0,Bass Lake Joint Union Elementary,14.88,0,4.9,3.3,0,0,1.59,0
11.32,1,0,67,12,32.25,12,0,0,Chowchilla Elementary,47.34,0,10.28,7,0,0,0.71,0
4,1,0,0,0.8,8,0,0,0,Chowchilla Union High,29.75,0,5,2.9,3,50.35,2.95,0
33.13,5,25,534.57,48.11,140.07,92.5,4,0,Madera Unified,484.17,0,89.55,69.89,20,237.88,36.66,2.1
0,1,0,3.5,1,0,0.5,0,0,Raymond-Knowles Union Elementary,2.5,0,1,0,0,0,0,0
6,3,0.5,46.58,0.75,20.53,8.25,0,0,Golden Valley Unified,44.78,0,10.5,8.19,1.5,37.16,2.05,1
8.47,2,0,19.71,2.13,10.42,2.13,0,0,Chawanakee Unified,29.22,0,6.7,5,1,31.4,1.47,0
5.4,2,0,41.66,3,21.26,5.58,0,0,Yosemite Unified,49.64,0,16.67,10.94,1.8,44.81,4.31,5.94
0,0,0,0,0,0,0,0,0,Bolinas-Stinson Union Elementary,0,0,0,0,0,0,0,0
6,2,1.8,81.57,1.5,23.4,11.03,0,0,Dixie Elementary,27.2,0,7.94,5,0,0,6.07,0
4,1,1.8,60.19,2.5,18.07,7.21,0,0,Kentfield Elementary,9,0,4,4,0,0,2.36,0
0,0,0,1.42,0,0,0.33,0,0,Laguna Joint Elementary,0.5,0,0,0.25,0,0,0,0
0,0,0,4,0,0.73,1,0,0,Lagunitas Elementary,0,0,1,1,0,0,0,0
5,1,2.95,66.99,1.6,12.31,8.72,0,0,Larkspur-Corte Madera,20.78,0,7.19,3.95,0,0,2,0
0,0,0,0,0,1,0,0,0,Lincoln Elementary,0,0,0,0,0,0,0,0
8,1,4.98,125.74,5.4,43.76,17,0,0,Mill Valley Elementary,27.18,0,10.13,7.49,0,0,10,0
0,0,0,0,0,0,0,0,0,Nicasio Elementary,0,0,0,0,0,0,0,0
22.2,3,0,200.78,20.33,39.56,32.67,0,0,Novato Unified,158.83,0,34.95,24.9,6.7,132.78,16.9,0.05
4,2,0,61.83,1.04,23.31,0.72,1,0,Reed Union Elementary,15.6,0,6,4.2,0,0,6.6,1.5
0,0.3,0,2.15,0,1.28,0.25,0,0,Ross Elementary,0.4,0,0.6,0.2,0,0,0,0
12.18,2,6,169.4,19.75,34.31,25.5,0,0,San Rafael City Elementary,35.72,0,14.04,14.6,0,0,10.3,0
9.06,1.5,0,0,0,11.88,0,0,0,San Rafael City High,26.59,0,17.01,6,5.8,116.04,0.5,3.16
0,0,0,0,0,0,0,0,0,Sausalito Marin City Elementary,0,0,0,0,0,0,0,0
19,5.2,0,0.05,6.28,29.53,0,0,0,Tamalpais Union High,67.41,0,32.68,18,17.9,262.06,8.2,0
4.5,1,1,18.76,0.85,5,2.14,0,0,Shoreline Unified,19.18,0,2.7,2.3,1,12.8,1,1.13
11.81,2,1,87.75,8.9,24.73,10.73,0,0,Ross Valley Elementary,22.42,0,7,6,0,0,7.8,0
9.47,1.4,3,50.12,3.07,25.52,8.51,0,0,Mariposa County Unified,49.26,0,14,8.58,2.25,34.41,0.92,1.22
4,1,0,17.24,3.54,12.05,2,0,0,Anderson Valley Unified,21.05,0,4,3,0,14.3,1.86,0
10,2,2,58.32,11.11,51.05,8.33,0,0,Fort Bragg Unified,36.06,0,17.64,7.95,2.4,38.44,4,1
0,0,0,2.67,0,2.26,0.33,0,0,Manchester Union Elementary,1.04,0,1,1,0,0,0,0
3.31,0,0,19.18,1.15,15.94,1.58,0,0,Mendocino Unified,27.1,0,4.94,2.1,0.99,16.64,4.77,0
0,1,0,10.17,3.33,8.29,2.5,0,0,Round Valley Unified,13.23,0,5.5,1.9,1,11.18,0,0
25,5,3,174.69,21.3,123.14,27.04,0,0,Ukiah Unified,105.56,0,53.38,21.53,6,101.24,20.45,1
0,0,0,0,0,0,0,0,0,Willits Unified,0,0,0,0,0,0,0,0
3,0.4,0,9.05,1,5,1,0,0,Potter Valley Community Unified,11.25,0,3.75,1.11,0.6,6.83,0,0
3.5,1,0,11.02,1.77,19.73,1.75,0,0,Laytonville Unified,10.58,0,2.83,1.9,0.4,9.77,0,0
1.6,0.5,0,6.29,0,6.01,1.33,0,0,Leggett Valley Unified,6.72,0,1.4,0,0,5.38,0.3,0
0,0,0,0,0,0,0,0,0,Arena Union Elementary/Point Arena Joint Union High ,0,0,0,0,0,0,0,0
14.38,3,0,174.4,15,53.21,28.33,0,0,Atwater Elementary,102.75,0,26.36,11.8,0,0,19.74,0.14
2,0.9,0,17.1,2,7.5,2,0,0,Ballico-Cressey Elementary,5.75,0,2.75,1,0,0,0,0
0,0,0,8,0,3,1,0,0,El Nido Elementary,3.88,0,2,0,0,0,0,0
6.87,2,1.3,61.52,7.63,23.4,13.62,0,0,Hilmar Unified,41.02,0,8.25,6.35,2.6,35.75,4.35,1.15
0,0,0,16,1,10.54,3,0,0,Le Grand Union Elementary,11.52,0,5.16,1,0,0,1,0
