District Administrative Support:,District Administrators:,Elementary Guidance Counselors:,Elementary:,Instruc. Coordinators &amp; Supervisors:,Instructional Aides:,Kindergarten:,Librarians/Media Specialists:,Library/Media Support:,Name,Other Support Services:,Prekindergarten:,School Administrative Support:,School Administrators:,Secondary Guidance Counselors:,Secondary:,Student Support Services:,Ungraded:
40.47,6,6,555.96,69.49,302.26,81.63,0,0,Hesperia Unified,558.16,0,175.7,69.8,23.69,350.4,22.14,5.61
3.72,0.9,0,33.85,13,23.62,4.81,0,0,Lucerne Valley Unified,36.23,0,32,12.35,3.9,105.4,1,4.47
32.63,5,4.2,270.48,27.38,124.4,41.6,1,0,Upland Unified,154.04,0,45.13,18,10.8,147.67,19.8,7.6
36.79,3,5.88,354.08,31.31,231.53,55.92,0,0,Apple Valley Unified,186.28,0,68.42,36.18,9,182.6,19.62,0.14
0.75,2,2,59.6,3.67,17.92,10.63,0,0,Alpine Union Elementary,23.2,0,9.9,3,0,0,3.5,0
2,1.4,0,11.93,5.35,13,2,0,0,Borrego Springs Unified,20,0,30.1,6.45,4,83.1,1.4,3.48
0,0,0,0,0,0,0,0,0,Cajon Valley Union Elementary,0,0,0,0,0,0,0,0
2,1,0,29.4,1,15,5,0,0,Cardiff Elementary,12.25,0,4.25,2,0,0,3.9,0
83.5,17,8.82,0,231.54,387.6,211.49,0,0,Chula Vista Elementary,337.7,0,154.5,75.88,0,39.5,142.21,0
10,1,1,63.6,5.3,41.72,7.5,0,0,Coronado Unified,40.47,0,15.96,9,3.1,54.5,8,0.5
0,0,0,145.49,107.25,83.46,27.88,0,0,Dehesa Elementary,28.91,0,114.52,22.34,0,139.35,70.24,17.19
7,3,0,163.97,7,65.76,27.55,0,0,Del Mar Union Elementary,55.41,0,15.97,9,0,0,17.8,0
13.84,3.5,0,180.25,37,58.54,32.25,0,0,Encinitas Union Elementary,71.21,0,15.66,9,0,0,26.6,0
0,0,0,0,0,0,0,0,0,Escondido Union Elementary,0,0,0,0,0,0,0,0
25.54,5,0,0,38.71,70.43,0,0,0,Escondido Union High,169.01,0,60.59,29.4,23.5,419.63,26.87,6.75
14.88,3.5,2.01,175.41,16.37,87.95,30.7,0,0,Fallbrook Union Elementary,114.15,0,18.28,12.52,0,0,20,0
7,0,0,0,1,40.5,0,0,0,Fallbrook Union High,49,0,14.5,6,7.16,100.67,7,2.24
65.4,4,0,0.17,112.27,267.97,0,0,0,Grossmont Union High,313.9,0,133.1,60.28,52.64,833.69,48.07,18.83
4.25,2,0,24.42,1,12.59,3.48,0,0,Jamul-Dulzura Union Elementary,19.35,0,7,3,0,7.85,3.35,0
0,1,0,93.58,14.91,40.26,11.94,0,0,Julian Union Elementary,8.46,0,71.73,18.93,0,62.77,23.13,3.11
0,0.5,0,0,0,4.18,0,0,0,Julian Union High,4.38,0,1,0.5,0.25,9.35,0,0.1
0,0,0,0,0,0,0,0,0,La Mesa-Spring Valley,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Lemon Grove Elementary,0,0,0,0,0,0,0,0
8.75,1,3,73.52,18.4,41.95,8.84,0,0,Mountain Empire Unified,65.17,0,37.9,19.1,1.9,68.86,15.22,26.15
19,3,2.5,199.27,47.71,50,42.03,0,0,National Elementary,92.09,0,25,14.5,0,0,21.5,0
84.11,10,20.96,859.69,35.65,383.8,137.93,0,0,Poway Unified,689.58,0,117.41,70.9,24.3,432.07,191.6,28.3
19.49,2,1.7,123.98,3,73.8,19.34,0,0,Ramona City Unified,131.64,0,40.55,12,2.9,67.09,13.7,1.1
2.82,1,0,43.75,12.81,13.93,3,0,0,Rancho Santa Fe Elementary,13.25,0,3,2,0,0,3,0
680.73,50.5,86,0,190.94,0,533.83,1.67,0,San Diego Unified,0,0,753.32,342.08,89.25,0,554.06,56.83
40,3,6,160.3,9.1,58.84,0,0,0,San Dieguito Union High,198.01,0,58.98,26,20.4,352.99,33.6,3.33
0,1,0,25.62,2.05,6.57,4,0,0,San Pasqual Union Elementary,11,0,3.98,1,0,0,0,0
0,0,0,0,0,0,0,0,0,Santee Elementary,0,0,0,0,0,0,0,0
21.39,1,3,181.67,34,57.93,26.83,0,0,San Ysidro Elementary,92.22,0,15.48,11,0,0,7,0
14.63,3,1,112.46,46.54,68.25,18.58,0,0,Solana Beach Elementary,48.18,0,12.62,6,0,0,10.8,0
0,0,0,35.74,5.31,0,5.49,0,0,Spencer Valley Elementary,2.51,0,18.88,17.32,0,36.97,17.24,0
228.25,20,30.8,498.01,181.93,565.6,3.65,0,0,Sweetwater Union High,490.75,0,235.07,105.6,86.2,0,76.6,20.09
0,0.3,0,8.34,1.53,4.61,2,0,0,Vallecitos Elementary,4.34,0,2.75,1.7,0,7.22,0.5,0.1
29,4,6,158,5,111.54,16,2,0,Vista Unified,110.25,5,36.59,13,6,91,69.13,0
27.73,3,5,262.7,21.25,82.05,32.08,0,0,Carlsbad Unified,160.68,0,46.33,23.7,9,143.72,33,1.96
56.56,6,7.95,536.92,110.23,207.1,83.37,0,0,Oceanside Unified,447.21,0,75.3,47.5,14.6,236.01,82.3,10.8
57.21,10,11,329.69,396.32,237.54,39.83,0,0,San Marcos Unified,274.46,0,66.04,48.3,15,220.06,109.8,0
4,0.6,0,60.22,1.9,8.3,7.04,0,0,Warner Unified,10.71,0,39,9.77,0,65.32,20.8,0
18.75,5,3,103.32,13.7,26.64,15.17,0,0,Valley Center-Pauma Unified,87.42,0,21.19,9.5,2,53.26,13.5,2.4
10,1.5,1,95.7,7.18,36,15.75,0,0,Bonsall Unified,42,0,38.5,10,0,27.07,21.7,0
0,130.48,49.7,0,663.86,770.88,232.5,5.6,0,San Francisco Unified,496.7,0,266.43,238.37,60.9,0,435.96,0
1.69,1,0,31,1,11.26,6,0,0,Banta Elementary,12.77,0,3.02,3,0,0,0,0
8,1,1,75.94,8,25.85,13,0,0,Escalon Unified,53.4,0,15.16,9,2.95,42.37,5.5,0
37.62,6,9.8,232.28,15.17,95.69,29.3,0,0,Lincoln Unified,127.87,0,36.78,24.25,11,138.7,44.7,4
10,1,1,53.89,7.75,33.93,6,0,0,Linden Unified,31.56,0,13.75,6.78,2,33.32,5,0.25
139.63,10.5,10.73,806.92,56.11,443.82,113.55,0,0,Lodi Unified,511.94,0,134.87,85.2,18.55,417.89,83.65,4.74
67.94,8,0,533.5,6.33,187.97,82.17,0,0,Manteca Unified,490.43,0,125.29,63.6,22,379.75,103,3
0,0,0,9,0,5.38,2,0,0,New Hope Elementary,3.75,0,2,1,0,0,0,0
8.44,4,0,84.25,11.46,39.48,8.76,0,0,New Jerusalem Elementary,49.93,0,43.51,17.43,0,88.59,20.99,0
0,0.3,0,14,0,7.09,2,0,0,Oak View Union Elementary,7.79,0,2,1.7,0,0,0,4.2
11.75,1,0,99.11,5.21,31.77,13.39,0,0,Ripon Unified,49.2,0,19.31,10.01,3,66.2,12.55,0
225.26,4,38.1,906.24,128.56,488.09,147.65,0,0,Stockton Unified,750.27,0,231.21,137.54,22.78,416.23,103.96,26.83
0,0,0,0,0,0,0,0,0,Tracy Joint Unified,0,0,0,0,0,0,0,0
18.26,2,0,132.11,13,36.85,22.17,0,0,Lammersville Joint Unified,54.39,0,14,12,3.4,61.43,11,0
7.37,2,2.15,112.03,7.8,112.73,15.89,0,0,Atascadero Unified,102.23,0,25.26,13.3,4.6,67.71,24.25,2.46
0,1,0.2,12.75,1.75,4.67,1,0,0,Cayucos Elementary,3.17,0,2,1,0,0,0,0
22.75,5,2,267.4,57.34,152.12,41.22,0,0,Lucia Mar Unified,164.45,0,48.91,28,9,179.47,22.6,4.54
0,0,0,3,0.8,3.32,1,0,0,Pleasant Valley Joint Union Elementary,1.45,0,1.63,0.5,0,0,0,0
25,4,7.1,205.37,7.8,130.16,29.67,0,0,San Luis Coastal Unified,134.46,0,42.68,24.4,5,109.71,29.3,1
0,0,0,0,0,0,0,0,0,San Miguel Joint Union Elementary,0,0,0,0,0,0,0,0
1.5,0.5,0.1,10.75,0,6.41,1.75,0,0,Shandon Joint Unified,12.52,0,3.5,1.45,0.85,6.1,1,0
4.31,1,2.39,56.82,6,28.77,8.12,0,0,Templeton Unified,48.1,0,10.62,6,3,40.25,10.99,1
17.41,1,3.4,156.28,29.1,117.99,22.86,1,0,Paso Robles Joint Unified,139.83,0,29.44,19.43,5,102.16,26.5,9.5
8.5,1,0,20.45,1.2,11.97,2,0,0,Coast Unified,25.94,0,6.19,3.25,1,16.2,2.8,0
0,1,0,15,5.6,6,2,0,0,Bayshore Elementary,4.25,0,2,2,0,0,0.8,0
11.45,1,3,156.93,3,26.65,21.5,0,0,Belmont-Redwood Shores Elementary,46.18,0,11.84,10.3,0,0,11.4,0
4,1,0,19.2,0.5,9.11,4,0,0,Brisbane Elementary,8.44,0,3,2.2,0,0,1.9,0
8,2,1,112.65,2,31.89,19.55,0,0,Burlingame Elementary,33.44,0,9.07,7,0,0,5,0
14,1,2,75.26,13.07,26.34,12.25,0,0,Cabrillo Unified,56.87,0,19.52,10.1,2.9,43.84,11,0.15
8,3,3.75,73.84,2,25.51,6.33,0,0,Hillsborough City Elementary,13,0,5,4.25,0,0,8.46,0
23.8,3,0,0,6.89,31.88,0,0,0,Jefferson Union High,63.74,0,31.36,19.9,13.8,223.94,12,0
0,0,0,0,0,0,0,0,0,Pacifica Elementary,0,0,0,0,0,0,0,0
2,1.16,0,12.91,1,3.47,1.67,0,0,La Honda-Pescadero Unified,10.12,0,3,1.65,0,7.97,0.25,0
7,1,2.8,64.01,3.65,18.27,6,0,0,Las Lomitas Elementary,18.66,0,4.22,5,0,0,4,0
6.5,2,5,147.89,5.8,37.08,17.18,0,0,Menlo Park City Elementary,50.24,0,10.38,9,0,0,20.4,0
4.2,2,1,84,0.8,17,12.5,0,0,Millbrae Elementary,33.24,0,5,5,0,0,7.59,0.75
5,1,1,36.01,10.05,10.08,3.5,0,0,Portola Valley Elementary,9,0,4,3,0,0,1,0
11,10,0,138.5,28.6,111.56,18.78,0,0,Ravenswood City Elementary,74.76,0,22.26,17,0,5.32,21.21,4.25
24.5,1,1.5,315.65,33.07,124.51,46.37,1,0,Redwood City Elementary,139.41,0,55.78,29.9,0,0,22.5,0
8,0,1,67.83,2,38.56,13.06,0,0,San Bruno Park Elementary,33.81,0,8.38,3.25,0,0,3.75,0
8,1.5,6.2,150.5,4.6,43.5,21.45,0,0,San Carlos Elementary,43.92,0,11.2,10.7,0,0,13.79,0
0,0,0,0,0,0,0,0,0,San Mateo-Foster City Elementary,0,0,0,0,0,0,0,0
34.8,5,0,0,8.36,69.9,0,0.9,0,San Mateo Union High,198.25,0,88.05,18.73,26.44,457.7,20.5,7
44,8.6,0,0,46.76,142,0,0,0,Sequoia Union High,164,0,69,25,29.1,508.15,26.3,2
52.23,6,5.5,233.8,24.5,94.15,34.1,2,0,South San Francisco Unified,99.56,0,60.82,30.5,10.3,128.5,30.31,0.6
0,1,1.5,31.05,4.6,6.5,3,0,0,Woodside Elementary,4.5,0,4.5,1.7,0,0,2,1.25
0,1,0,6,0,3.48,1,0,0,Ballard Elementary,1,0,1,0,0,0,0,0
0,0.5,0,43.44,5.61,27.53,5.5,0,0,Blochman Union Elementary,5.25,0,3.72,7.25,0,26.4,2.83,0.28
0,0,0,0,0,0,0,0,0,Santa Maria-Bonita Elementary,0,0,0,0,0,0,0,0
5.5,1,1,22.17,4.75,16.25,4,0,0,Buellton Union Elementary,9.75,0,2,1,0,0,7.1,0
10.38,1,4,60.27,2.5,40.92,10.33,0,0,Carpinteria Unified,49.08,0,12.26,7,2.8,35.4,9,0
0,0,0,0,0,7.5,0,0,0,Cold Spring Elementary,2.5,0,4,0,0,0,0,0
2,1,0,18.69,2.4,9.56,3.11,0,0,College Elementary,2.86,0,2,2,0,0,0,1
12.13,2,0,142.3,20.5,76.7,31.2,0,0,Goleta Union Elementary,114.29,0,17.17,9,0,0,24.7,0
13,0,0,48.67,0,20,8.33,0,0,Guadalupe Union Elementary,32,0,7,4,0,0,2,0
1.88,1,0,33.75,1.6,16.45,6.25,0,0,Hope Elementary,17.73,0,3.72,3,0,0,3,0
18.5,5,4,262.94,28.22,100.36,47.57,0,0,Lompoc Unified,225.45,0,56.14,25.71,10.25,139.63,28.9,0.5
0,0,0,9.72,0,1.33,1,0,0,Los Olivos Elementary,1.82,0,0.81,1,0,0,0,0
0,1,0,26.86,0,16.25,9.14,0,0,Montecito Union Elementary,14,0,7,2,0,0,2,0
20,1.85,2.75,158.47,8.91,37.7,22.59,0,0,Orcutt Union Elementary,86.84,0,19.38,12.05,0,27.75,10,0
23.19,5,0,0,17.48,81.09,0,0,0,Santa Maria Joint Union High,174.92,0,62.5,13,22,327.59,7.4,1.83
5,1,0,0,3,0,0,0,0,Santa Ynez Valley Union High,19,0,6,2,3,48.6,0,0
0,1,0,24,0,6.56,3,0,0,Solvang Elementary,8.16,0,6.68,2,0,0,1,0
0,0,0,0,0,0,0,0,0,Vista Del Mar Union Elementary,0,0,0,0,0,0,0,0
2,0,0,10.83,1,3.88,1.27,0,0,Cuyama Joint Unified,10.04,0,2.24,0.8,0.2,8.28,0,0
4.37,9,8.19,321.1,64.18,175.16,36.14,0,0,Santa Barbara Unified,275.04,0,83.95,44.96,18.12,275.3,43.12,3.43
39,5,6.5,436.72,15,69.84,67.53,0,0,Alum Rock Union Elementary,227.36,0,44.47,34.5,0,0,35.05,0
17.57,3.33,3.5,258.04,12.67,72.36,39,1,0,Berryessa Union Elementary,99.15,0,24.4,16,0,0,16.1,0
0,0,0,0,0,0,0,0,0,Cambrian Elementary,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Campbell Union Elementary,0,0,0,0,0,0,0,0
8.75,2,0,0.2,9.7,30,0,0,0,Campbell Union High,33,0,23,24.3,23.5,352.1,17.6,0.2
0,0,0,0,0,0,0,0,0,Cupertino Union Elementary,0,0,0,0,0,0,0,0
45,6,0,11,42.43,187.85,2,0,0,East Side Union High,348.21,0,127.38,56.88,53.9,0,79.45,18.57
6,2,2,51,2,24.13,0,2,0,Evergreen Elementary,13.65,0,3.93,3,0,0,6.2,0
15.25,4,6.7,379.56,15.13,130.3,56.05,0,0,Franklin-McKinley Elementary,188.92,0,45.28,34.05,0,0,56.84,5.7
31.05,7.6,0,0,18.17,113.74,0,0,0,Fremont Union High,121.4,0,64.65,32.64,20.5,461.4,24.3,5
17,9,6.5,270.3,61.13,128.06,34.67,0,0,Gilroy Unified,125.22,0,61.42,27.43,9,170.54,20.7,1
0,0,0,0,0,0,0,0,0,Lakeside Joint Elementary,0,0,0,0,0,0,0,0
1.8,1,0,22.4,0.8,8.23,2,0,0,Loma Prieta Joint Union Elementary,10.48,0,2.1,1,0,0,0.8,1
9.93,2.8,0,183.81,31.78,100.32,24,0,0,Los Altos Elementary,39.78,0,14.9,9.83,0,0,19.2,0
10.83,1.5,1,126.27,8.9,19.6,11.83,0,0,Los Gatos Union Elementary,26.07,0,10.48,7,0,0,13.2,1
10,3,0,0.13,4.38,13.5,0,0,0,Los Gatos-Saratoga Joint Union High,67.24,0,14,8,9.2,160.89,4.6,3.8
0,0,0,0,0,0,0,0,0,Luther Burbank Elementary,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,Moreland Elementary,0,0,0,0,0,0,0,0
39.25,2.99,3.49,231.1,22.2,63.74,35.32,1.8,0,Morgan Hill Unified,139.98,0,49.91,21.7,5.78,121.33,12.89,11.51
0,0,0,0,0,0,0,0,0,Mountain View Whisman Elementary,0,0,0,0,0,0,0,0
12,3,0,0.54,4.17,32.16,0,1.9,0,Mountain View-Los Altos Union High,56.13,0,28.9,8.6,16,218.52,5.6,1.97
9.38,3,3,89.67,3,29.46,15.08,0,0,Mount Pleasant Elementary,43.31,0,9.27,7,0,0,10,0
41.56,8,8,356.87,32.87,80.98,53.81,0,0,Oak Grove Elementary,145.26,0,53.91,23,0,0,35.25,0
0,0,1,35.52,1,8.28,5.33,0,0,Orchard Elementary,10.97,0,2.81,2,0,0,2,0
54.21,15.55,10.2,416.07,95.96,247.84,48.27,0,0,Palo Alto Unified,237.61,0,61.25,35.95,15,238.07,18.5,23.24
125.85,11,41.35,776.41,162.55,199.71,101.62,0,0,San Jose Unified,549.27,0,158.33,87.15,29.3,464.7,85.4,15.3
38.11,9,10.2,377.09,51.32,209.18,62.53,0,0,Santa Clara Unified,281.31,0,76,46,14,189.48,70.1,9.5
11,1,2,82.06,15.5,27.13,7.45,0,0,Saratoga Union Elementary,23.58,0,9,6,0,0,7.96,1
0,0,0,0,0,0,0,0,0,Sunnyvale Elementary,0,0,0,0,0,0,0,0
0,0.45,0,6,0,4.65,1,0,0,Union Elementary,2.38,0,1.75,0.55,0,0,0.14,0
30.94,4,1.95,254.22,11,77.55,39.42,0,0,Milpitas Unified,121.01,0,44.2,28.65,5.95,140.75,33.6,2
0,0,0,0,0,0,0,0,0,Santa Cruz City Elementary/High,0,0,0,0,0,0,0,0
0,1,0,6.5,0,4.41,1.5,0,0,Bonny Doon Union Elementary,1.5,0,1.63,0,0,0,0,0
0,1,0,5,0.49,3.2,0.8,0,0,Happy Valley Elementary,0,0,1.6,0,0,0,0.18,0.4
14.08,1,1,70.71,5,30.63,11.29,0,0,Live Oak Elementary,25.06,0,15.13,7,0,9.6,5,0
0,0,0,0,0,0,0,0,0,Mountain Elementary,0,0,0,0,0,0,0,0
0,0.5,0,4.27,0,3.85,1.03,0,0,Pacific Elementary,2.47,0,1.95,0.5,0,0,0.9,0
183,0,0,503.38,13.82,236,81.45,0,0,Pajaro Valley Unified,645,0,131,55.5,12,244.36,1,1
4,3,1,77.5,17.38,23.89,11.38,0,0,San Lorenzo Valley Unified,55.01,0,17.21,10.15,2,115.51,5.6,0
12.75,2,0,69.47,11.9,13.51,12.05,0,0,Soquel Union Elementary,20.3,0,8.39,4.98,0,0,8.1,0
4.44,0.9,0.3,18.71,0,10.84,4.05,0,0,Scotts Valley Unified,29.71,0,5.63,4.06,0.7,13.58,0,0
5.1,1.5,0,0,1.5,17.27,0,0,0,Anderson Union High,29.26,0,10,5.8,6.7,86,2.2,0
0,0.22,0,17.5,0,6.37,2,0,0,Bella Vista Elementary,7.18,0,3,1,0,0,0,0
0,1,0,7.7,0,5.25,1.5,0,0,Black Butte Union Elementary,5.93,0,4,0,0,0,1.49,0
6.62,2,0,49.49,6.17,36.28,9.33,0,0,Cascade Union Elementary,40.41,0,8,4,0,0,3,0
0,0,0,3.3,0,6.85,0.5,0,0,Castle Rock Union Elementary,4,0,2,0.4,0,0,0,0
6,1,1,54.68,2.17,29.38,6.18,0,0,Columbia Elementary,27.88,0,5.81,5.67,0,0,3.4,0
3,1,1,45.62,1,22.17,7.33,0,0,Cottonwood Union Elementary,19.25,0,5.98,3.5,0,0,1.7,0
14,3,0,128.76,17.87,149,20.48,0,0,Enterprise Elementary,66,0,39,14.5,0,0.5,8.8,0
8,0.55,0,36.16,4.5,22.53,6.14,0,0,Fall River Joint Unified,37.13,0,9.25,6.34,1,22.75,2,0
0,0,0,2.16,0.2,1.45,0.24,0,0,French Gulch-Whiskeytown Elementary,0.44,0,1,0.1,0,0,0,0
0,0.3,0,1,0,0,0,0,0,Grant Elementary,0.21,0,0,0,0,0,0,0
1,0,0,18.25,0,8.23,4.75,0,0,Happy Valley Union Elementary,11.75,0,3.94,2,0,0,0,0
0,0,0,1.75,0,3.04,0.25,0,0,"Igo, Ono, Platina Union Elementary",1.94,0,1,0,0,0,0,0
0,0,0,1.67,0,0.83,0.33,0,0,Indian Springs Elementary,1.67,0,0.83,0.4,0,0,0,0
0,0,0,2.6,0.8,2.8,0.6,0,0,Junction Elementary,4,0,1.8,0,0,0,0,0
0,0,0,9.47,0.72,10,1.73,0,0,Millville Elementary,3.75,0,2.88,1,0,0,0.45,0.07
0,0,0,9.4,1,2.91,2,0,0,North Cow Creek Elementary,4.44,0,2,0,0,0,0,0
0,0.7,0,2.12,0,1.29,1.13,0,0,Oak Run Elementary,1.49,0,1.21,0,0,0,0.5,0
1,1,0.2,24.83,0,13.07,4,0,0,Pacheco Union Elementary,15.27,0,3.31,2,0,0,1,0
12.06,2,2,116.05,12,57.67,20.25,0,0,Redding Elementary,80.02,0,21.93,11.6,0,4.87,23.4,0
3,0,0,24.2,4,9.3,3,0,0,Shasta Union Elementary,12,0,3.75,2,0,0,0,0
22.13,4,0,22.82,1,45.16,0,0,0,Shasta Union High,86.45,0,45.38,17.6,16.9,228.84,9.6,0
0,0,0,10.01,2.33,1.95,1.05,0,0,Whitmore Union Elementary,4.96,0,4,5.39,0,27.88,3.9,0
0,0.3,0,3.33,0.4,2.88,0.67,0,0,Mountain Union Elementary,4,0,2,0.3,0,0,0,0
14,2,2.6,69.85,13.8,68.39,10.95,0,0,Gateway Unified,78.42,0,20.19,10.4,2.95,37.93,9.1,3.25
1.59,0,0,10.76,1,16.09,0.83,0,0,Sierra-Plumas Joint Unified,11.43,0,2.68,1,0,9.25,1,0
0,0,0,7,1,0,1,0,0,Big Springs Union Elementary,19.53,0,1.86,1,0,0,0,0
0,0,0,0.83,0,0.72,0.17,0,0,Bogus Elementary,1.22,0,0,0,0,0,0,0
0,0.3,0,9,0,5.22,1,0,0,Butteville Union Elementary,4.82,0,3,0.7,0,0,0,0
0,0,0,2.67,0,4.5,0.33,0,0,Delphic Elementary,0,0,1,1,0,0,0,0
0,0.5,0,3.33,0,4.3,0.67,0,0,Dunsmuir Elementary,4.57,0,1.75,0.5,0,0,0,0
0,0.4,0,0,0.5,0,0,0,0,Dunsmuir Joint Union High,2.5,0,2.5,0.5,0.75,7.45,0,0
0,0,0,0.86,0,0.75,0.14,0,0,Forks of Salmon Elementary,1.25,0,1,0,0,0,0,0
