,DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,Category,Teachers,Staff Support,Administrators,Counselors,Librarians,Student Support,Improvement Percentage,Predicted PctBothBenchmark
0,ABC Unified,19,64212,"215,049,027","19,855.30",10831,Unified                  ,1810,1005,822,6,828,82.39,665,5,670,66.67,644,64.08,0,824.95,701.77,64.0,10.0,0.0,83.6,2.8695680175007205,65.91881918561445
1,Amador County Unified,3,73981,"33,806,573","3,732.10",9058,Unified                  ,322,88,79,0,79,89.77,60,0,60,68.18,59,67.05,0,161.62,139.36,15.16,6.3,0.0,1.2,1.7780743209378886,68.24219883218885
2,Arcadia Unified,19,64261,"101,395,950","9,209.90",11009,Unified                  ,892,637,600,1,601,94.35,572,1,573,89.95,560,87.91,0,378.98,387.22,24.33,14.0,0.0,24.34,3.7263012495095724,91.18579142844386
3,Atascadero Unified,40,68700,"45,624,457","4,484.00",10175,Unified                  ,362,103,97,0,97,94.17,76,0,76,73.79,75,72.82,0,195.63,255.39,15.3,6.75,0.0,24.25,0.9624919516884575,73.52088663921953
4,Barstow Unified,36,67611,"65,007,114","5,792.00",11224,Unified                  ,377,85,55,0,55,64.71,37,0,37,43.53,33,38.82,0,245.86,290.0,21.0,13.0,0.0,2.0,1.3024258644905367,39.32560172059523
5,Beaumont Unified,33,66993,"100,905,897","9,517.90",10602,Unified                  ,672,562,290,0,290,51.6,130,0,130,23.13,125,22.24,0,395.61,346.55,30.2,12.5,0.0,30.1,2.6263520859422016,22.824100703913544
6,Benicia Unified,48,70524,"45,151,119","4,578.20",9862,Unified                  ,426,217,196,0,196,90.32,172,0,172,79.26,168,77.42,0,185.7,150.06,13.1,7.5,0.0,12.5,1.5320362577175612,78.60610247072493
7,Bishop Unified,14,76687,"20,968,529","1,823.90",11497,Unified                  ,154,53,42,0,42,79.25,29,0,29,54.72,27,50.94,0,87.62,113.07,8.0,1.6,0.0,4.0,1.32211595881351,51.6134858694196
8,Black Oak Mine Unified,9,73783,"10,609,128",992.7,10687,Unified                  ,100,30,28,0,28,93.33,22,0,22,73.33,21,70.0,0,55.17,70.26,4.59,0.0,0.0,0.0,1.3001093719859624,70.91007656039018
9,Bonita Unified,19,64329,"102,533,880","9,733.30",10534,Unified                  ,842,446,366,0,366,82.06,260,0,260,58.3,247,55.38,0,404.78,356.27,25.0,15.25,0.0,29.0,41.720598342306126,78.48486736196914
10,Bonsall Unified,37,76851,"23,927,811","2,264.10",10568,Unified                  ,92,38,32,0,32,84.21,20,0,20,52.63,19,50.0,0,138.52,133.68,11.5,1.0,0.0,21.7,1.1279757349347184,50.56398786746736
11,Brea-Olinda Unified,30,66449,"56,497,884","5,714.80",9886,Unified                  ,480,204,189,1,190,93.14,159,1,160,78.43,156,76.47,0,226.09,168.37,16.3,6.5,0.0,26.8,2.610427210769851,78.4661936880757
12,Burbank Unified,19,64337,"156,850,436","14,574.20",10762,Unified                  ,1361,669,587,0,587,87.74,485,0,485,72.5,466,69.66,0,627.78,577.54,43.5,20.0,0.0,40.7,2.257218107175045,71.23237813345814
13,Burton Elementary,54,71837,"47,919,869","4,757.40",10073,Elementary               ,87,32,19,0,19,59.38,8,0,8,25.0,8,25.0,0,202.91,176.4,19.62,1.0,0.0,14.0,1.4384144119084383,25.35960360297711
14,Calaveras Unified,5,61564,"30,556,709","2,667.70",11454,Unified                  ,230,86,71,0,71,82.56,60,0,60,69.77,57,66.28,0,128.1,162.24,14.48,1.0,0.0,1.0,1.568564636460137,67.31964464104578
15,Capistrano Unified,30,66464,"471,585,268","45,844.10",10287,Unified                  ,4606,2156,2028,8,2036,94.43,1691,7,1698,78.76,1671,77.5,0,835.5,1559.47,115.62,10.5,0.0,143.9,54.17247989920592,119.48367192188458
16,Carlsbad Unified,37,73551,"110,042,716","10,888.90",10106,Unified                  ,950,483,451,2,453,93.79,380,2,382,79.09,377,78.05,0,438.5,338.04,26.7,14.0,0.0,33.0,15.762557577702582,90.35267618939686
17,Castro Valley Unified,1,61150,"92,677,106","8,951.20",10354,Unified                  ,775,461,425,0,425,92.19,360,0,360,78.09,352,76.36,0,378.78,304.95,26.17,13.95,0.0,22.3,5.182005996730239,80.3169797791032
18,Central Unified,10,73965,"161,722,109","15,004.60",10778,Unified                  ,1036,395,269,0,269,68.1,151,0,151,38.23,144,36.46,0,140.3,144.32,10.5,8.7,5.7,9.8,2.3866008658629716,37.33015467569364
19,Ceres Unified,50,71043,"144,409,508","12,971.00",11133,Unified                  ,1038,434,257,0,257,59.22,119,0,119,27.42,109,25.12,0,621.63,795.62,50.93,23.45,0.0,70.53,3.038758977616314,25.88333625517722
20,Charter Oak Unified,19,64378,"51,054,738","4,613.10",11067,Unified                  ,443,229,171,1,172,75.11,127,0,127,55.46,122,53.28,0,198.27,200.32,15.96,5.98,0.0,16.5,1.3148347470106225,53.98054395320726
21,Chico Unified,4,61424,"130,799,476","11,614.40",11262,Unified                  ,1113,396,350,1,351,88.64,305,1,306,77.27,294,74.24,0,622.43,677.26,39.55,26.9,0.0,44.67,2.2464564609957782,75.90776927664325
22,Chino Valley Unified,36,67678,"274,295,122","27,068.70",10133,Unified                  ,2459,2324,1452,1,1453,62.52,930,1,931,40.06,875,37.65,0,1104.23,941.79,80.67,17.05,0.0,51.52,2.9159164057952935,38.74784252678192
23,Claremont Unified,19,64394,"72,975,758","6,758.00",10798,Unified                  ,665,403,353,3,356,88.34,285,3,288,71.46,282,69.98,0,281.18,267.86,22.18,8.0,0.0,23.7,1.552907222567249,71.06672447435257
24,Clovis Unified,10,62117,"424,999,863","40,856.90",10402,Unified                  ,3428,1696,1443,1,1444,85.14,1074,1,1075,63.38,1032,60.85,0,1703.32,1974.75,213.17,38.85,0.0,166.07,46.929359602980334,89.40651531841353
25,Colusa Unified,6,61598,"14,552,036","1,416.80",10271,Unified                  ,109,42,29,0,29,69.05,24,0,24,57.14,22,52.38,0,71.26,55.39,5.0,1.0,0.0,0.3,1.2442537788823211,53.03174012937857
26,Conejo Valley Unified,56,73759,"183,305,848","18,101.70",10126,Unified                  ,1838,992,945,0,945,95.26,827,0,827,83.37,817,82.36,0,797.99,563.64,54.0,25.0,0.0,45.9,42.32910168864698,117.22224815076966
27,Corona-Norco Unified,33,67033,"557,879,039","51,022.50",10934,Unified                  ,4536,2344,1861,4,1865,79.56,1375,3,1378,58.79,1315,56.1,0,887.1,1608.39,129.0,55.0,0.0,145.0,1.4266998110091107,56.900378593976114
28,Dinuba Unified,54,75531,"71,708,443","6,277.30",11423,Unified                  ,502,143,86,0,86,60.14,36,0,36,25.17,35,24.48,0,254.14,240.89,25.5,4.0,0.0,7.0,1.5106917115854128,24.84981733099611
29,Dixon Unified,48,70532,"33,029,113","3,061.00",10790,Unified                  ,310,120,85,0,85,70.83,74,0,74,61.67,65,54.17,0,153.55,128.81,13.6,3.9,0.0,7.2,1.5084590094305759,54.987132245408546
30,Dublin Unified,1,75093,"107,678,950","11,044.60",9749,Unified                  ,582,523,422,2,424,81.07,347,2,349,66.73,336,64.24,0,465.25,313.73,25.3,14.4,0.0,16.4,4.754510251654488,67.29429738566284
31,Durham Unified,4,61432,"10,113,069",968.4,10443,Unified                  ,61,36,30,0,30,83.33,15,0,15,41.67,13,36.11,0,48.4,38.85,3.6,1.5,0.0,2.7,1.1820116836731116,36.53682441897436
32,El Rancho Unified,19,64527,"93,952,601","8,239.90",11402,Unified                  ,728,398,253,0,253,63.57,159,0,159,39.95,149,37.44,0,344.88,354.23,25.64,13.99,0.0,33.0,18.623165186134877,44.41251304568889
33,El Segundo Unified,19,64535,"36,577,956","3,371.20",10850,Unified                  ,275,169,162,0,162,95.86,132,0,132,78.11,132,78.11,0,139.04,105.9,8.8,5.0,0.5,11.0,1.2951791338102137,79.12166442141915
34,Elk Grove Unified,34,67314,"661,563,883","59,748.80",11072,Unified                  ,4915,2623,2061,3,2064,78.69,1585,3,1588,60.54,1503,57.3,0,1115.89,1532.72,169.18,77.9,0.0,109.5,3.3923141965342083,59.2437960346141
35,Escalon Unified,39,68502,"24,966,773","2,488.20",10034,Unified                  ,207,74,65,0,65,87.84,48,0,48,64.86,47,63.51,0,131.31,110.41,10.0,3.95,0.0,5.5,1.4022893890757786,64.40059399100203
36,Exeter Unified,54,76836,"29,299,289","2,685.60",10910,Unified                  ,273,66,53,0,53,80.3,26,0,26,39.39,26,39.39,0,114.31,125.5,16.7,2.8,0.0,2.45,1.663041836246434,40.04507217929747
37,Fairfield-Suisun Unified,48,70540,"208,430,635","20,576.80",10129,Unified                  ,1622,550,431,0,431,78.36,295,0,295,53.64,277,50.36,0,878.32,973.42,58.7,18.7,1.0,56.36,13.421882705915046,57.11926013069881
38,Folsom-Cordova Unified,34,67330,"208,367,798","19,356.30",10765,Unified                  ,1553,663,607,3,610,92.01,546,3,549,82.81,535,80.69,0,872.16,777.76,67.23,22.93,0.0,71.69,58.683419433534525,128.04165114091902
39,Fowler Unified,10,62158,"28,644,859","2,498.90",11463,Unified                  ,191,111,61,0,61,54.95,24,0,24,21.62,20,18.02,0,115.58,118.8,6.77,2.83,0.0,2.6,1.3020710849457071,18.254633209507215
40,Fremont Unified,1,61176,"361,573,564","34,247.10",10558,Unified                  ,2686,1716,1595,31,1626,94.76,1466,31,1497,87.24,1473,85.84,0,1500.02,1225.32,82.0,43.0,0.0,84.9,10.302400843729096,94.68358088425705
41,Gilroy Unified,43,69484,"121,939,092","10,610.40",11492,Unified                  ,919,396,320,1,321,81.06,230,0,230,58.08,222,56.06,0,475.51,392.83,36.43,15.5,0.0,20.7,4.763300514891786,58.730306268648334
42,Glendora Unified,19,64576,"76,250,695","7,188.70",10607,Unified                  ,733,405,362,0,362,89.38,313,0,313,77.28,299,73.83,0,307.12,240.16,17.97,10.86,0.0,16.0,2.41074362841039,75.60985202085539
43,Golden Valley Unified,20,75580,"19,334,798","1,881.00",10279,Unified                  ,142,63,53,0,53,84.13,30,0,30,47.62,29,46.03,0,91.99,82.56,11.19,2.0,0.0,2.05,1.4593294754033208,46.70172935752815
44,Gridley Unified,4,75507,"20,497,499","1,933.30",10603,Unified                  ,143,40,36,0,36,90.0,31,0,31,77.5,28,70.0,0,90.59,92.0,1.9,1.95,0.0,2.4,1.2184447319414877,70.85291131235904
45,Gustine Unified,24,73619,"19,209,428","1,746.70",10998,Unified                  ,147,66,42,0,42,63.64,16,0,16,24.24,16,24.24,0,86.3,104.22,7.0,3.0,0.0,7.0,1.2608435091861596,24.545628466626724
46,Hamilton Unified,11,76562,"7,471,979",677.5,11028,Unified                  ,70,25,18,0,18,72.0,11,0,11,44.0,11,44.0,0,38.54,26.71,3.01,1.75,0.0,1.0,1.1789840888221386,44.51875299908174
47,Helendale Elementary,36,67736,"6,293,404",621.3,10130,Elementary               ,207,42,31,0,31,73.81,14,0,14,33.33,14,33.33,0,167.37,129.12,20.86,1.0,0.0,20.38,1.604581010692967,33.864806850863964
48,Hesperia Unified,36,75044,"231,185,965","20,488.40",11284,Unified                  ,2009,685,441,0,441,64.38,262,0,262,38.25,239,34.89,0,987.99,1146.08,75.8,29.69,0.0,22.14,20.35369250213394,41.99140331399453
49,Hilmar Unified,24,65698,"24,552,775","2,254.20",10892,Unified                  ,162,64,41,0,41,64.06,22,0,22,34.38,22,34.38,0,110.89,87.17,8.35,3.9,0.0,4.35,1.3641908559432498,34.8490088162733
50,Hughson Unified,50,75549,"22,341,720","1,967.90",11353,Unified                  ,151,65,54,0,54,83.08,32,0,32,49.23,30,46.15,0,89.42,83.72,10.89,2.0,0.0,3.77,1.4225623099086404,46.80651250602284
51,Imperial Unified,13,63164,"40,922,429","4,047.60",10110,Unified                  ,262,94,73,0,73,77.66,43,0,43,45.74,42,44.68,0,175.1,142.99,12.0,5.0,0.0,11.6,1.40125587851588,45.306081126520894
52,Irvine Unified,30,73650,"353,385,092","33,642.10",10504,Unified                  ,2474,1159,1088,39,1127,97.24,1029,40,1069,92.23,1055,91.03,0,1278.21,1630.9,76.99,28.29,1.0,104.8,1.4844318821515627,92.38127834232257
53,Kerman Unified,10,73999,"51,323,155","4,926.80",10417,Unified                  ,368,172,113,0,113,65.7,49,0,49,28.49,45,26.16,0,211.32,193.12,18.8,1.0,0.0,25.2,1.1971323990143932,26.473169835582166
54,Lake Elsinore Unified,33,75176,"230,358,769","20,215.90",11395,Unified                  ,1590,648,496,0,496,76.54,312,0,312,48.15,290,44.75,0,923.12,953.75,58.65,25.9,0.0,61.1,3.562284881867578,46.34412248463575
55,Lakeside Union Elementary,15,63552,"13,255,786","1,309.30",10124,Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,14.0,21.64,2.0,0.0,0.0,0.0,1.2290072997431252,76.61011272444561
56,Lakeside Union Elementary,16,63966,"3,548,968",311.7,11385,Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,14.0,21.64,2.0,0.0,0.0,0.0,1.2290072997431252,76.61011272444561
57,Lakeside Union Elementary,37,68189,"53,765,039","4,952.30",10857,Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,14.0,21.64,2.0,0.0,0.0,0.0,1.2290072997431252,76.61011272444561
58,Lakeside Union Elementary,15,63552,"13,255,786","1,309.30",10124,Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,14.0,21.64,2.0,0.0,0.0,0.0,1.2290072997431252,76.61011272444561
59,Lakeside Union Elementary,16,63966,"3,548,968",311.7,11385,Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,14.0,21.64,2.0,0.0,0.0,0.0,1.2290072997431252,76.61011272444561
60,Lakeside Union Elementary,37,68189,"53,765,039","4,952.30",10857,Elementary               ,106,37,34,1,35,94.59,27,1,28,75.68,28,75.68,0,14.0,21.64,2.0,0.0,0.0,0.0,1.2290072997431252,76.61011272444561
61,Lammersville Joint Unified,39,76760,"44,935,017","4,720.70",9519,Unified                  ,262,148,132,1,133,89.86,94,1,95,64.19,90,60.81,0,215.71,136.5,14.0,3.4,0.0,11.0,1.5790028999773262,61.77019166347621
62,Las Virgenes Unified,19,64683,"115,353,617","10,902.30",10581,Unified                  ,1052,503,476,4,480,95.43,396,4,400,79.52,398,79.13,0,464.59,439.56,32.3,24.1,0.0,41.7,0.3917815054486818,79.44001670526153
63,Lincoln Unified,39,68569,"88,013,647","8,583.40",10254,Unified                  ,741,238,206,0,206,86.55,150,0,150,63.03,143,60.08,0,400.28,313.13,30.25,20.8,0.0,44.7,0.5254245502329197,60.39567506977994
64,Linden Unified,39,68577,"23,901,297","2,159.30",11069,Unified                  ,153,67,61,0,61,91.04,41,0,41,61.19,41,61.19,0,93.21,96.99,7.78,3.0,0.0,5.0,1.3127630893578468,61.993279734378056
65,Live Oak Unified,51,71399,"19,940,840","1,782.00",11190,Unified                  ,134,60,42,0,42,70.0,33,0,33,55.0,28,46.67,0,89.21,96.06,8.0,1.0,0.0,2.0,1.3364359944895896,47.29371467862829
66,Livermore Valley Joint Unified,1,61200,"144,176,237","13,242.90",10887,Unified                  ,1091,531,492,0,492,92.66,414,0,414,77.97,403,75.89,0,593.55,446.55,39.85,9.58,0.0,32.57,0.45749317399407485,76.23719156974411
67,Lodi Unified,39,68585,"307,299,186","27,148.10",11319,Unified                  ,2304,819,658,0,658,80.34,534,0,534,65.2,490,59.83,0,1338.36,1286.37,95.7,29.28,0.0,83.65,5.012331527480632,62.828877952891666
