CO,CDS,DISTRICT,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type
19,65151,Wilsona Elementary,"14,890,177","1,216.3","12,242",Elementary               
19,73437,Compton Unified,"276,015,828","20,979.0","13,157",Unified                  
19,73445,Hacienda La Puente Unified,"201,484,024","17,712.1","11,375",Unified                  
19,73452,Rowland Unified,"153,565,208","13,052.7","11,765",Unified                  
19,73460,Walnut Valley Unified,"139,190,651","13,968.4","9,965",Unified                  
19,75291,San Gabriel Unified,"59,791,650","5,008.4","11,938",Unified                  
19,75309,Acton-Agua Dulce Unified,"14,550,055","1,026.6","14,173",Unified                  
19,75333,Manhattan Beach Unified,"76,244,519","6,383.0","11,945",Unified                  
19,75341,Redondo Beach Unified,"93,558,221","9,525.5","9,822",Unified                  
19,75713,Alhambra Unified,"199,924,954","16,352.4","12,226",Unified                  
19,76869,Wiseburn Unified,"26,316,486","2,440.6","10,783",Unified                  
20,65177,Alview-Dairyland Union Elementary,"3,893,255",386.3,"10,079",Elementary               
20,65185,Bass Lake Joint Union Elementary,"8,504,268",837.6,"10,154",Elementary               
20,65193,Chowchilla Elementary,"21,815,392","2,130.5","10,240",Elementary               
20,65201,Chowchilla Union High,"11,966,815","1,012.4","11,820",High                     
20,65243,Madera Unified,"223,204,359","18,982.9","11,758",Unified                  
20,65276,Raymond-Knowles Union Elementary,"1,030,662",78.5,"13,131",Elementary               
20,75580,Golden Valley Unified,"19,334,798","1,881.0","10,279",Unified                  
20,75606,Chawanakee Unified,"7,402,827",626.2,"11,822",Unified                  
20,76414,Yosemite Unified,"17,989,023","1,590.2","11,312",Unified                  
21,65300,Bolinas-Stinson Union Elementary,"4,229,411",82.9,"51,037",Elementary               
21,65318,Dixie Elementary,"22,024,759","1,909.9","11,532",Elementary               
21,65334,Kentfield Elementary,"16,961,544","1,191.0","14,241",Elementary               
21,65342,Laguna Joint Elementary,"326,562",13.4,"24,462",Elementary               
21,65359,Lagunitas Elementary,"3,785,955",237.4,"15,947",Elementary               
21,65367,Larkspur-Corte Madera,"19,634,699","1,488.4","13,192",Elementary               
21,65375,Lincoln Elementary,"251,993",7.0,"36,051",Elementary               
21,65391,Mill Valley Elementary,"42,964,224","2,972.2","14,455",Elementary               
21,65409,Nicasio Elementary,"926,005",39.5,"23,425",Elementary               
21,65417,Novato Unified,"84,771,103","7,283.8","11,638",Unified                  
21,65425,Reed Union Elementary,"21,321,124","1,389.1","15,349",Elementary               
21,65433,Ross Elementary,"7,643,266",369.2,"20,701",Elementary               
21,65458,San Rafael City Elementary,"52,104,756","4,545.9","11,462",Elementary               
21,65466,San Rafael City High,"34,927,415","2,483.0","14,067",High                     
21,65474,Sausalito Marin City Elementary,"5,236,259",115.6,"45,300",Elementary               
21,65482,Tamalpais Union High,"83,965,986","4,562.0","18,405",High                     
21,73361,Shoreline Unified,"13,174,761",477.8,"27,574",Unified                  
21,75002,Ross Valley Elementary,"24,124,897","2,007.3","12,019",Elementary               
22,65532,Mariposa County Unified,"19,339,352","1,565.1","12,357",Unified                  
23,65540,Anderson Valley Unified,"7,752,326",452.7,"17,124",Unified                  
23,65565,Fort Bragg Unified,"21,463,854","1,684.6","12,741",Unified                  
23,65573,Manchester Union Elementary,"762,345",36.6,"20,812",Elementary               
23,65581,Mendocino Unified,"8,017,628",471.3,"17,011",Unified                  
23,65607,Round Valley Unified,"6,546,496",359.4,"18,213",Unified                  
23,65615,Ukiah Unified,"68,447,381","5,574.7","12,278",Unified                  
23,65623,Willits Unified,"19,074,492","1,410.5","13,524",Unified                  
23,73866,Potter Valley Community Unified,"3,768,164",243.5,"15,478",Unified                  
23,73916,Laytonville Unified,"5,165,714",344.9,"14,976",Unified                  
23,75218,Leggett Valley Unified,"2,289,484",115.2,"19,877",Unified                  
23,76349,Arena Union Elementary/Point Arena Joint Union High ,"7,033,222",341.9,"20,573",Comm admin dist          
24,65631,Atwater Elementary,"46,918,402","4,851.4","9,671",Elementary               
24,65649,Ballico-Cressey Elementary,"4,018,524",364.2,"11,035",Elementary               
24,65680,El Nido Elementary,"2,063,410",162.4,"12,705",Elementary               
24,65698,Hilmar Unified,"24,552,775","2,254.2","10,892",Unified                  
24,65722,Le Grand Union Elementary,"4,895,162",372.6,"13,139",Elementary               
24,65730,Le Grand Union High,"6,896,183",473.1,"14,576",High                     
24,65748,Livingston Union Elementary,"27,008,728","2,428.2","11,123",Elementary               
24,65755,Los Banos Unified,"115,018,239","10,286.7","11,181",Unified                  
24,65763,McSwain Union Elementary,"8,055,339",819.0,"9,836",Elementary               
24,65771,Merced City Elementary,"110,222,817","10,561.4","10,436",Elementary               
24,65789,Merced Union High,"120,411,735","9,886.6","12,179",High                     
24,65813,Plainsburg Union Elementary,"1,018,109",113.7,"8,953",Elementary               
24,65821,Planada Elementary,"9,423,331",776.2,"12,141",Elementary               
24,65839,Snelling-Merced Falls Union Elementary,"1,064,892",78.3,"13,605",Elementary               
24,65862,Weaver Union Elementary,"30,556,935","2,688.7","11,365",Elementary               
24,65870,Winton Elementary,"20,037,053","1,860.1","10,772",Elementary               
24,73619,Gustine Unified,"19,209,428","1,746.7","10,998",Unified                  
24,73726,Merced River Union Elementary,"1,831,700",168.8,"10,851",Elementary               
24,75317,Dos Palos Oro Loma Joint Unified,"26,654,580","2,262.9","11,779",Unified                  
24,75366,Delhi Unified,"30,919,811","2,456.9","12,585",Unified                  
25,65896,Surprise Valley Joint Unified,"1,738,257",100.2,"17,350",Unified                  
25,73585,Modoc Joint Unified,"8,547,131",802.5,"10,651",Unified                  
25,73593,Tulelake Basin Joint Unified,"5,724,427",367.2,"15,588",Unified                  
26,73668,Eastern Sierra Unified,"9,497,335",390.9,"24,299",Unified                  
26,73692,Mammoth Unified,"13,274,183","1,137.5","11,669",Unified                  
27,65961,Alisal Union Elementary,"93,264,197","8,533.6","10,929",Elementary               
27,65979,Bradley Union Elementary,"1,073,710",75.0,"14,324",Elementary               
27,65987,Carmel Unified,"53,157,863","2,362.1","22,504",Unified                  
27,65995,Chualar Union Elementary,"3,623,309",314.2,"11,531",Elementary               
27,66027,Graves Elementary,"434,374",35.9,"12,116",Elementary               
27,66035,Greenfield Union Elementary,"38,868,488","3,422.6","11,356",Elementary               
27,66050,King City Union Elementary,"28,202,422","2,503.5","11,265",Elementary               
27,66068,South Monterey County Joint Union High,"26,219,839","2,149.2","12,200",High                     
27,66076,Lagunita Elementary,"905,702",95.3,"9,503",Elementary               
27,66084,Mission Union Elementary,"1,402,077",122.5,"11,447",Elementary               
27,66092,Monterey Peninsula Unified,"113,122,246","9,063.3","12,481",Unified                  
27,66134,Pacific Grove Unified,"31,257,569","1,978.5","15,798",Unified                  
27,66142,Salinas City Elementary,"97,359,695","8,395.8","11,596",Elementary               
27,66159,Salinas Union High,"178,663,126","14,571.7","12,261",High                     
27,66167,San Antonio Union Elementary,"1,926,922",137.7,"13,992",Elementary               
27,66175,San Ardo Union Elementary,"1,503,281",101.4,"14,830",Elementary               
27,66183,San Lucas Union Elementary,"985,220",66.6,"14,786",Elementary               
27,66191,Santa Rita Union Elementary,"31,842,391","3,422.4","9,304",Elementary               
27,66225,Spreckels Union Elementary,"8,356,958",939.7,"8,893",Elementary               
27,66233,Washington Union Elementary,"8,122,035",855.6,"9,493",Elementary               
27,73825,North Monterey County Unified,"52,843,250","4,361.4","12,116",Unified                  
27,75150,Big Sur Unified,"845,779",10.4,"81,325",Unified                  
27,75440,Soledad Unified,"56,357,997","4,634.2","12,161",Unified                  
27,75473,Gonzales Unified,"29,003,295","2,261.4","12,826",Unified                  
28,66241,Calistoga Joint Unified,"14,762,640",821.4,"17,972",Unified                  
28,66258,Howell Mountain Elementary,"1,586,347",92.2,"17,207",Elementary               
28,66266,Napa Valley Unified,"176,807,038","15,927.7","11,101",Unified                  
28,66282,Pope Valley Union Elementary,"1,399,632",64.2,"21,794",Elementary               
28,66290,Saint Helena Unified,"30,602,450","1,199.7","25,508",Unified                  
29,66316,Chicago Park Elementary,"1,671,411",116.0,"14,414",Elementary               
29,66324,Clear Creek Elementary,"1,446,236",155.0,"9,330",Elementary               
29,66332,Grass Valley Elementary,"14,407,488","1,146.0","12,572",Elementary               
29,66340,Nevada City Elementary,"7,649,106",707.5,"10,812",Elementary               
29,66357,Nevada Joint Union High,"34,481,769","2,381.3","14,480",High                     
29,66373,Pleasant Ridge Union Elementary,"11,112,700","1,082.1","10,270",Elementary               
29,66407,Union Hill Elementary,"6,404,305",668.3,"9,583",Elementary               
29,66415,Twin Ridges Elementary,"1,649,309",85.3,"19,326",Elementary               
29,76877,Penn Valley Union Elementary,"5,911,321",495.9,"11,921",Elementary               
30,66423,Anaheim Elementary,"216,800,188","17,052.6","12,714",Elementary               
30,66431,Anaheim Union High,"340,884,951","29,121.2","11,706",High                     
30,66449,Brea-Olinda Unified,"56,497,884","5,714.8","9,886",Unified                  
30,66456,Buena Park Elementary,"54,420,018","4,373.1","12,444",Elementary               
30,66464,Capistrano Unified,"471,585,268","45,844.1","10,287",Unified                  
30,66472,Centralia Elementary,"46,984,413","4,184.1","11,229",Elementary               
30,66480,Cypress Elementary,"39,497,177","3,847.5","10,266",Elementary               
30,66498,Fountain Valley Elementary,"57,107,291","6,211.3","9,194",Elementary               
30,66506,Fullerton Elementary,"138,813,960","12,916.6","10,747",Elementary               
30,66514,Fullerton Joint Union High,"147,014,641","13,208.5","11,130",High                     
30,66522,Garden Grove Unified,"501,285,224","41,695.9","12,022",Unified                  
30,66530,Huntington Beach City Elementary,"64,803,923","6,567.1","9,868",Elementary               
30,66548,Huntington Beach Union High,"182,608,039","15,377.5","11,875",High                     
30,66555,Laguna Beach Unified,"53,943,320","2,787.5","19,352",Unified                  
30,66563,La Habra City Elementary,"54,338,620","4,489.4","12,104",Elementary               
30,66589,Magnolia Elementary,"69,002,265","5,814.4","11,868",Elementary               
30,66597,Newport-Mesa Unified,"281,762,766","20,208.0","13,943",Unified                  
30,66613,Ocean View Elementary,"87,452,644","7,986.7","10,950",Elementary               
30,66621,Orange Unified,"276,530,475","24,783.0","11,158",Unified                  
30,66647,Placentia-Yorba Linda Unified,"260,592,744","24,617.6","10,586",Unified                  
30,66670,Santa Ana Unified,"616,944,655","46,710.0","13,208",Unified                  
30,66696,Savanna Elementary,"23,810,491","2,192.2","10,862",Elementary               
30,66746,Westminster Elementary,"99,603,338","9,003.6","11,063",Elementary               
30,73635,Saddleback Valley Unified,"270,129,024","26,232.2","10,298",Unified                  
30,73643,Tustin Unified,"241,071,049","23,185.6","10,397",Unified                  
30,73650,Irvine Unified,"353,385,092","33,642.1","10,504",Unified                  
30,73924,Los Alamitos Unified,"101,405,247","9,537.4","10,632",Unified                  
31,66761,Ackerman Charter,"4,542,291",582.1,"7,804",Elementary               
31,66779,Alta-Dutch Flat Union Elementary,"1,267,265",101.8,"12,445",Elementary               
31,66787,Auburn Union Elementary,"14,444,818","1,110.7","13,005",Elementary               
31,66795,Colfax Elementary,"3,302,854",335.5,"9,846",Elementary               
31,66803,Dry Creek Joint Elementary,"63,464,706","6,633.4","9,568",Elementary               
31,66829,Eureka Union Elementary,"32,939,541","3,245.6","10,149",Elementary               
31,66837,Foresthill Union Elementary,"4,324,871",369.7,"11,700",Elementary               
31,66845,Loomis Union Elementary,"22,432,509","2,437.4","9,203",Elementary               
31,66852,Newcastle Elementary,"3,435,791",152.1,"22,589",Elementary               
31,66886,Placer Hills Union Elementary,"7,515,343",697.6,"10,773",Elementary               
31,66894,Placer Union High,"44,013,371","3,787.2","11,622",High                     
31,66910,Roseville City Elementary,"100,250,819","10,477.4","9,568",Elementary               
31,66928,Roseville Joint Union High,"109,516,735","9,755.9","11,226",High                     
31,66944,Tahoe-Truckee Unified,"60,647,978","3,600.3","16,845",Unified                  
31,66951,Western Placer Unified,"69,186,158","6,672.1","10,370",Unified                  
31,75085,Rocklin Unified,"109,473,336","11,406.8","9,597",Unified                  
32,66969,Plumas Unified,"25,085,207","1,698.2","14,772",Unified                  
33,66977,Alvord Unified,"222,113,522","17,977.8","12,355",Unified                  
33,66985,Banning Unified,"54,654,399","4,226.2","12,932",Unified                  
33,66993,Beaumont Unified,"100,905,897","9,517.9","10,602",Unified                  
33,67033,Corona-Norco Unified,"557,879,039","51,022.5","10,934",Unified                  
33,67041,Desert Center Unified,"1,096,795",18.4,"59,544",Unified                  
33,67058,Desert Sands Unified,"310,219,104","24,791.1","12,513",Unified                  
33,67082,Hemet Unified,"265,095,793","20,001.3","13,254",Unified                  
33,67090,Jurupa Unified,"214,270,745","18,209.9","11,767",Unified                  
33,67116,Menifee Union Elementary,"96,328,279","9,734.5","9,896",Elementary               
33,67124,Moreno Valley Unified,"382,459,183","31,027.7","12,326",Unified                  
33,67157,Nuview Union Elementary,"15,938,166","1,459.0","10,924",Elementary               
33,67173,Palm Springs Unified,"276,973,758","20,629.3","13,426",Unified                  
33,67181,Palo Verde Unified,"32,735,661","2,825.7","11,585",Unified                  
33,67199,Perris Elementary,"59,890,888","4,619.8","12,964",Elementary               
33,67207,Perris Union High,"115,789,290","9,016.8","12,841",High                     
33,67215,Riverside Unified,"479,771,376","39,111.1","12,267",Unified                  
33,67231,Romoland Elementary,"40,576,048","3,752.4","10,813",Elementary               
33,67249,San Jacinto Unified,"113,369,388","9,462.2","11,981",Unified                  
33,73676,Coachella Valley Unified,"241,945,479","17,263.3","14,015",Unified                  
33,75176,Lake Elsinore Unified,"230,358,769","20,215.9","11,395",Unified                  
33,75192,Temecula Valley Unified,"266,975,514","26,992.7","9,891",Unified                  
33,75200,Murrieta Valley Unified,"228,213,079","21,995.5","10,375",Unified                  
33,75242,Val Verde Unified,"216,557,916","19,355.2","11,189",Unified                  
34,67280,Arcohe Union Elementary,"4,345,180",438.2,"9,917",Elementary               
34,67314,Elk Grove Unified,"661,563,883","59,748.8","11,072",Unified                  
34,67322,Elverta Joint Elementary,"2,837,869",230.0,"12,339",Elementary               
34,67330,Folsom-Cordova Unified,"208,367,798","19,356.3","10,765",Unified                  
34,67348,Galt Joint Union Elementary,"41,189,667","3,470.9","11,867",Elementary               
34,67355,Galt Joint Union High,"25,551,894","2,021.5","12,640",High                     
34,67413,River Delta Joint Unified,"21,499,369","1,809.6","11,881",Unified                  
34,67421,Robla Elementary,"25,587,226","2,033.4","12,584",Elementary               
34,67439,Sacramento City Unified,"486,432,070","38,392.8","12,670",Unified                  
34,67447,San Juan Unified,"431,015,576","37,512.7","11,490",Unified                  
34,73973,Center Joint Unified,"47,920,959","4,066.0","11,786",Unified                  
34,75283,Natomas Unified,"104,831,329","9,376.2","11,181",Unified                  
34,76505,Twin Rivers Unified,"316,604,318","24,589.8","12,875",Unified                  
35,67454,Bitterwater-Tully Elementary,"443,740",33.2,"13,366",Elementary               
35,67462,Cienega Union Elementary,"339,064",27.9,"12,157",Elementary               
35,67470,Hollister Elementary,"55,240,705","5,118.2","10,793",Elementary               
35,67488,Jefferson Elementary,"256,228",7.8,"33,019",Elementary               
35,67504,North County Joint Union Elementary,"6,101,818",725.0,"8,416",Elementary               
35,67520,Panoche Elementary,"164,878",3.7,"44,562",Elementary               
35,67538,San Benito High,"31,407,348","2,895.6","10,847",High                     
35,67553,Southside Elementary,"1,656,365",198.6,"8,342",Elementary               
35,67561,Tres Pinos Union Elementary,"1,071,993",118.1,"9,079",Elementary               
35,67579,Willow Grove Union Elementary,"330,524",14.7,"22,500",Elementary               
35,75259,Aromas - San Juan Unified,"10,967,648","1,052.6","10,419",Unified                  
36,67587,Adelanto Elementary,"91,267,034","7,874.2","11,591",Elementary               
36,67595,Alta Loma Elementary,"55,514,449","5,782.3","9,601",Elementary               
36,67611,Barstow Unified,"65,007,114","5,792.0","11,224",Unified                  
36,67637,Bear Valley Unified,"27,454,822","2,330.0","11,783",Unified                  
36,67645,Central Elementary,"41,647,726","4,409.4","9,445",Elementary               
36,67652,Chaffey Joint Union High,"264,390,996","22,743.0","11,625",High                     
36,67678,Chino Valley Unified,"274,295,122","27,068.7","10,133",Unified                  
36,67686,Colton Joint Unified,"251,850,973","21,322.3","11,812",Unified                  
36,67694,Cucamonga Elementary,"30,053,856","2,323.4","12,936",Elementary               
36,67702,Etiwanda Elementary,"136,927,596","13,741.7","9,964",Elementary               
36,67710,Fontana Unified,"427,721,458","35,572.9","12,024",Unified                  
36,67736,Helendale Elementary,"6,293,404",621.3,"10,130",Elementary               
36,67777,Morongo Unified,"94,350,599","7,982.2","11,820",Unified                  
36,67785,Mountain View Elementary,"23,650,512","2,441.4","9,687",Elementary               
36,67793,Mt. Baldy Joint Elementary,"1,150,264",89.6,"12,832",Elementary               
36,67801,Needles Unified,"11,900,514",902.8,"13,182",Unified                  
36,67819,Ontario-Montclair Elementary,"264,319,251","20,312.0","13,013",Elementary               
36,67827,Oro Grande Elementary,"5,184,465",96.8,"53,559",Elementary               
36,67843,Redlands Unified,"209,224,844","19,912.4","10,507",Unified                  
36,67850,Rialto Unified,"286,565,117","24,409.0","11,740",Unified                  
36,67868,Rim of The World Unified,"34,585,806","3,109.3","11,123",Unified                  
36,67876,San Bernardino City Unified,"651,483,094","46,562.2","13,992",Unified                  
36,67892,Trona Joint Unified,"5,816,521",239.8,"24,257",Unified                  
36,67918,Victor Elementary,"125,636,307","11,793.4","10,653",Elementary               
36,67934,Victor Valley Union High,"123,712,182","9,546.1","12,960",High                     
36,67959,Yucaipa-Calimesa Joint Unified,"87,542,068","8,006.8","10,933",Unified                  
36,73858,Baker Valley Unified,"2,418,521",125.6,"19,250",Unified                  
36,73890,Silver Valley Unified,"28,636,107","1,997.5","14,336",Unified                  
36,73957,Snowline Joint Unified,"78,965,925","7,047.2","11,205",Unified                  
36,75044,Hesperia Unified,"231,185,965","20,488.4","11,284",Unified                  
36,75051,Lucerne Valley Unified,"9,925,047",680.6,"14,583",Unified                  
36,75069,Upland Unified,"114,965,358","10,355.4","11,102",Unified                  
36,75077,Apple Valley Unified,"142,832,814","12,256.1","11,654",Unified                  
37,67967,Alpine Union Elementary,"16,012,469","1,630.7","9,819",Elementary               
37,67983,Borrego Springs Unified,"6,119,134",379.7,"16,116",Unified                  
37,67991,Cajon Valley Union Elementary,"176,097,561","15,915.5","11,065",Elementary               
37,68007,Cardiff Elementary,"9,324,106",669.3,"13,931",Elementary               
37,68023,Chula Vista Elementary,"264,265,365","22,631.3","11,677",Elementary               
37,68031,Coronado Unified,"35,037,167","2,840.9","12,333",Unified                  
37,68049,Dehesa Elementary,"3,812,067",133.8,"28,497",Elementary               
37,68056,Del Mar Union Elementary,"56,084,908","4,332.5","12,945",Elementary               
37,68080,Encinitas Union Elementary,"59,112,686","5,164.6","11,446",Elementary               
37,68098,Escondido Union Elementary,"179,335,783","15,028.8","11,933",Elementary               
37,68106,Escondido Union High,"91,663,311","7,015.2","13,066",High                     
37,68114,Fallbrook Union Elementary,"55,858,011","4,678.3","11,940",Elementary               
37,68122,Fallbrook Union High,"28,408,432","2,034.6","13,963",High                     
37,68130,Grossmont Union High,"210,836,231","15,571.9","13,540",High                     
37,68155,Jamul-Dulzura Union Elementary,"6,612,576",564.5,"11,714",Elementary               
37,68163,Julian Union Elementary,"5,451,295",286.4,"19,033",Elementary               
37,68171,Julian Union High,"2,694,221",116.5,"23,128",High                     
37,68189,Lakeside Union Elementary,"53,765,039","4,952.3","10,857",Elementary               
37,68197,La Mesa-Spring Valley,"124,921,863","11,651.4","10,722",Elementary               
37,68205,Lemon Grove Elementary,"42,005,259","3,534.6","11,884",Elementary               
37,68213,Mountain Empire Unified,"22,334,790","1,554.1","14,371",Unified                  
37,68221,National Elementary,"61,275,329","5,154.5","11,888",Elementary               
37,68296,Poway Unified,"358,868,032","35,144.5","10,211",Unified                  
37,68304,Ramona City Unified,"55,859,760","5,225.9","10,689",Unified                  
37,68312,Rancho Santa Fe Elementary,"12,354,333",616.6,"20,037",Elementary               
37,68338,San Diego Unified,"1,271,515,430","99,104.2","12,830",Unified                  
37,68346,San Dieguito Union High,"135,445,928","12,463.8","10,867",High                     
37,68353,San Pasqual Union Elementary,"5,559,204",568.3,"9,782",Elementary               
37,68361,Santee Elementary,"61,822,891","6,556.7","9,429",Elementary               
37,68379,San Ysidro Elementary,"62,053,584","4,476.3","13,863",Elementary               
37,68387,Solana Beach Elementary,"47,512,128","2,829.9","16,789",Elementary               
37,68395,South Bay Union Elementary,"72,611,223","5,174.0","14,034",Elementary               
37,68403,Spencer Valley Elementary,"2,628,377",36.4,"72,228",Elementary               
37,68411,Sweetwater Union High,"474,701,050","37,046.9","12,814",High                     
37,68437,Vallecitos Elementary,"2,264,725",204.6,"11,067",Elementary               
37,68452,Vista Unified,"252,230,308","20,280.9","12,437",Unified                  
37,73551,Carlsbad Unified,"110,042,716","10,888.9","10,106",Unified                  
37,73569,Oceanside Unified,"206,363,504","16,940.9","12,181",Unified                  
37,73791,San Marcos Unified,"211,089,616","20,109.0","10,497",Unified                  
37,75416,Warner Unified,"3,455,419",154.1,"22,426",Unified                  
37,75614,Valley Center-Pauma Unified,"45,355,894","3,775.1","12,015",Unified                  
37,76851,Bonsall Unified,"23,927,811","2,264.1","10,568",Unified                  
38,68478,San Francisco Unified,"729,813,887","50,381.9","14,486",Unified                  
39,68486,Banta Elementary,"4,322,581",349.9,"12,352",Elementary               
39,68502,Escalon Unified,"24,966,773","2,488.2","10,034",Unified                  
39,68544,Jefferson Elementary,"21,343,456","2,262.2","9,435",Elementary               
39,68569,Lincoln Unified,"88,013,647","8,583.4","10,254",Unified                  
39,68577,Linden Unified,"23,901,297","2,159.3","11,069",Unified                  
39,68585,Lodi Unified,"307,299,186","27,148.1","11,319",Unified                  
39,68593,Manteca Unified,"244,552,503","22,384.5","10,925",Unified                  
39,68619,New Hope Elementary,"2,579,954",185.3,"13,924",Elementary               
39,68627,New Jerusalem Elementary,"3,225,630",22.0,"146,553",Elementary               
39,68635,Oak View Union Elementary,"3,514,863",386.0,"9,105",Elementary               
39,68650,Ripon Unified,"28,583,426","3,077.4","9,288",Unified                  
39,68676,Stockton Unified,"425,644,603","32,923.8","12,928",Unified                  
39,75499,Tracy Joint Unified,"147,731,305","14,201.0","10,403",Unified                  
39,76760,Lammersville Joint Unified,"44,935,017","4,720.7","9,519",Unified                  
40,68700,Atascadero Unified,"45,624,457","4,484.0","10,175",Unified                  
40,68726,Cayucos Elementary,"3,331,338",192.7,"17,284",Elementary               
40,68759,Lucia Mar Unified,"110,262,122","9,992.3","11,035",Unified                  
40,68791,Pleasant Valley Joint Union Elementary,"1,044,439",74.0,"14,106",Elementary               
40,68809,San Luis Coastal Unified,"88,293,090","7,175.5","12,305",Unified                  
40,68825,San Miguel Joint Union Elementary,"6,353,214",582.2,"10,913",Elementary               
40,68833,Shandon Joint Unified,"4,013,358",299.8,"13,385",Unified                  
40,68841,Templeton Unified,"23,877,711","2,265.7","10,539",Unified                  
40,75457,Paso Robles Joint Unified,"72,838,174","6,477.3","11,245",Unified                  
40,75465,Coast Unified,"11,790,929",576.7,"20,446",Unified                  
41,68858,Bayshore Elementary,"4,640,348",359.0,"12,924",Elementary               
41,68866,Belmont-Redwood Shores Elementary,"46,241,245","4,196.6","11,019",Elementary               
41,68874,Brisbane Elementary,"7,500,360",449.3,"16,695",Elementary               
41,68882,Burlingame Elementary,"34,939,576","3,389.5","10,308",Elementary               
41,68890,Cabrillo Unified,"36,926,961","3,089.9","11,951",Unified                  
41,68908,Hillsborough City Elementary,"26,805,720","1,354.5","19,790",Elementary               
